Pays&TxEmp&TxEmpFem&TxEmpJeun&TxEmpSen&Tpart&CDD&TxCho&TxChoLD
Allemagne&70,9&66,2&46,2&56,2&26,1&14,5&7,5&3,4
Autriche&71,6&66,4&54,5&41,1&24,6&9,1&4,8&1,0
Belgique&61,6&56&25,3&35,3&23,4&8,2&7,9&3,5
Danemark&75,7&73,1&63,6&57,5&26,0&8,9&6,0&0,5
Espagne&59,8&52,8&28,0&44,1&12,8&25,4&18,0&4,3
Finlande&68,7&67,9&39,6&55,5&14,0&14,6&8,2&1,4
France&64,2&60,1&31,4&38,9&17,3&13,5&9,5&3,3
Grece&61,2&48,9&22,9&42,2&6,0&12,1&9,5&3,9
Hongrie&55,4&49,9&18,1&32,8&5,6&8,5&10,0&4,2
Irlande&61,8&57,4&35,4&51,0&21,2&8,5&11,9&3,4
Italie&57,5&46,4&21,7&35,7&14,3&12,5&7,8&3,5
Pays-Bas&77,0&71,5&68,0&55,1&48,3&18,2&3,7&0,9
Portugal&66,3&61,6&31,3&49,7&11,6&22,0&9,6&4,3
Royaume-Uni&69,9&65&48,4&57,5&26,1&5,7&7,6&1,9
Suede&72,2&70,2&38,3&70,0&27,0&15,3&8,3&1,1
