"";"";"";"";"développement";""
"1";"développement";"1.33080211053682";"0.708643087648257";"0.892775245498739";"45"
"2";"ivg";"1.33080211053682";"0.708643087648257";"0.876852202721869";"63"
"3";"république";"1.33080211053682";"0.708643087648257";"0.876852202721869";"64"
"4";"mouvement";"1.33080211053682";"0.708643087648256";"0.8610601647846";"84"
"5";"service";"1.33080211053682";"0.708643087648256";"0.8610601647846";"87"
"6";"protection";"1.33080211053682";"0.708643087648256";"0.8610601647846";"88"
"7";"programme";"1.33080211053682";"0.708643087648256";"0.8610601647846";"89"
"8";"garder";"1.33080211053682";"0.708643087648256";"0.8610601647846";"91"
"9";"engager";"1.33080211053682";"0.708643087648256";"0.8610601647846";"92"
"10";"collectif";"1.33080211053682";"0.708643087648256";"0.8610601647846";"93"
"11";"chemin";"1.33080211053682";"0.708643087648256";"0.8610601647846";"94"
"12";"accès";"1.33080211053682";"0.708643087648256";"0.8610601647846";"95"
"13";"disparaître";"-1.04000913632344";"-1.34939050126616";"0.860000216536925";"101"
"14";"progressivement";"0.878074470999772";"0.552539158679048";"0.857272933967065";"106"
"15";"question";"0.935666902726773";"0.365637489495853";"0.845434860279549";"120"
"16";"plan";"0.935666902726773";"0.365637489495853";"0.845434860279549";"121"
"17";"considérer";"0.935666902726773";"0.365637489495853";"0.845434860279549";"122"
"18";"condition";"0.935666902726773";"0.365637489495853";"0.845434860279549";"123"
"19";"élever";"1.33080211053682";"0.708643087648256";"0.845422950748676";"125"
"20";"régime";"1.33080211053682";"0.708643087648256";"0.845422950748676";"126"
"21";"porter";"1.33080211053682";"0.708643087648256";"0.845422950748676";"127"
"22";"partiel";"1.33080211053682";"0.708643087648256";"0.845422950748676";"128"
"23";"garçon";"1.33080211053682";"0.708643087648256";"0.845422950748676";"129"
"24";"désormais";"1.33080211053682";"0.708643087648256";"0.845422950748676";"130"
"25";"contraception";"1.33080211053682";"0.708643087648256";"0.845422950748676";"131"
"26";"citer";"1.33080211053682";"0.708643087648256";"0.845422950748676";"132"
"27";"arrêter";"1.33080211053682";"0.708643087648256";"0.845422950748676";"133"
"28";"décision";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"136"
"29";"à_juste_titre";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"137"
"30";"traitement";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"138"
"31";"simple";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"139"
"32";"réduction";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"140"
"33";"présenter";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"142"
"34";"pierremauroy";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"143"
"35";"européen";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"145"
"36";"concrétiser";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"146"
"37";"exemple";"-0.644873928513396";"-1.00638490311376";"0.844339183439256";"150"
"38";"réduire";"1.44278224827923";"0.995366662255774";"0.841695267585505";"155"
"39";"possible";"1.44278224827923";"0.995366662255774";"0.841695267585505";"156"
"40";"personnel";"0.96861999890718";"0.58375994447289";"0.841695267585505";"157"
"41";"partir";"0.96861999890718";"0.58375994447289";"0.841695267585505";"158"
"42";"serment";"0.856639861164765";"0.297036369865372";"0.831357794787956";"166"
"43";"choix";"0.856639861164765";"0.297036369865372";"0.831357794787956";"168"
"44";"réaliser";"-0.565846886951388";"-0.937783783483281";"0.830536037157736";"173"
"45";"parler";"-0.565846886951388";"-0.937783783483281";"0.830536037157736";"175"
"46";"moyen";"-0.565846886951388";"-0.937783783483281";"0.830536037157736";"176"
"47";"engagement";"-0.565846886951388";"-0.937783783483281";"0.830536037157736";"177"
"48";"constituer";"-0.565846886951388";"-0.937783783483281";"0.830536037157736";"178"
"49";"commencer";"-0.565846886951388";"-0.937783783483281";"0.830536037157736";"179"
"50";"affirmer";"-0.565846886951388";"-0.937783783483281";"0.830536037157736";"180"
"51";"ministre";"-0.249738720703354";"-0.663379304961357";"0.829559455626171";"187"
"52";"politique";"0.573413115713155";"-0.0834460977215059";"0.826820263525438";"190"
"53";"rester";"-0.177895955646982";"-0.60101465075183";"0.819912735619241";"195"
"54";"action";"0.418951630975179";"-0.082908292703444";"0.819841278434005";"196"
"55";"gouvernement";"-0.128158656761802";"-0.557839120914464";"0.818805149248076";"197"
"56";"choisir";"0.738099298821752";"0.194134690419651";"0.818233491766183";"198"
"57";"conjoint";"0.738099298821752";"0.194134690419651";"0.818233491766183";"199"
"58";"paraître";"0.738099298821752";"0.194134690419651";"0.818233491766183";"200"
"59";"féminin";"0.738099298821752";"0.194134690419651";"0.818233491766183";"201"
"60";"protéger";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"202"
"61";"législation";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"203"
"62";"inégalité";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"204"
"63";"gouvernemental";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"205"
"64";"doute";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"206"
"65";"appliquer";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"207"
"66";"chômage";"0.540531694916731";"0.0226318913434495";"0.81462490391174";"209"
"67";"rôle";"-0.249738720703354";"-0.663379304961358";"0.814017517837229";"211"
"68";"établir";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"214"
"69";"veiller";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"215"
"70";"économique";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"217"
"71";"âge";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"218"
"72";"véritable";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"219"
"73";"simonedebeauvoir";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"220"
"74";"réel";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"221"
"75";"renforcer";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"222"
"76";"nombreux";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"223"
"77";"ligne";"0.540531694916731";"0.0226318913434494";"0.806859889782705";"224"
"78";"égard";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"225"
"79";"yvetteroudy";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"226"
"80";"terme";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"228"
"81";"suffire";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"229"
"82";"réserver";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"230"
"83";"respect";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"231"
"84";"présent";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"232"
"85";"préparer";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"233"
"86";"proposition";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"234"
