"";"X";"V1"
"1";1;3
"2";2;5
"3";3;5
"4";4;4
"5";5;2
"6";6;2
"7";7;5
"8";8;5
"9";9;5
"10";10;2
"11";11;2
"12";12;2
"13";13;2
"14";14;2
"15";15;4
"16";16;2
"17";17;2
"18";18;2
"19";19;5
"20";20;2
"21";21;2
"22";22;2
"23";23;2
"24";24;5
"25";25;2
"26";26;5
"27";27;5
"28";28;2
"29";29;2
"30";30;5
"31";31;5
"32";32;5
"33";33;5
"34";34;5
"35";35;5
"36";36;5
"37";37;5
"38";38;5
"39";39;5
"40";40;5
"41";41;2
"42";42;2
"43";43;5
"44";44;5
"45";45;5
"46";46;2
"47";47;5
"48";48;5
"49";49;5
"50";50;2
"51";51;2
"52";52;3
"53";53;5
"54";54;2
"55";55;2
"56";56;2
"57";57;5
"58";58;5
"59";59;5
"60";60;5
"61";61;5
"62";62;2
"63";63;2
"64";64;2
"65";65;2
"66";66;2
"67";67;2
"68";68;2
"69";69;2
"70";70;5
"71";71;5
"72";72;2
"73";73;2
"74";74;5
"75";75;5
"76";76;2
"77";77;2
"78";78;2
"79";79;2
"80";80;5
"81";81;5
"82";82;2
"83";83;2
"84";84;5
"85";85;2
"86";86;2
"87";87;5
"88";88;2
"89";89;5
"90";90;2
"91";91;2
"92";92;2
"93";93;2
"94";94;2
"95";95;2
"96";96;2
"97";97;5
"98";98;2
"99";99;2
"100";100;2
"101";101;4
"102";102;5
"103";103;2
"104";104;2
"105";105;2
"106";106;2
"107";107;2
"108";108;2
"109";109;2
"110";110;2
"111";111;2
"112";112;2
"113";113;1
"114";114;2
"115";115;5
"116";116;2
"117";117;2
"118";118;2
"119";119;2
"120";120;2
"121";121;2
"122";122;2
"123";123;2
"124";124;5
"125";125;2
"126";126;2
"127";127;2
"128";128;2
"129";129;2
"130";130;2
"131";131;5
"132";132;2
"133";133;2
"134";134;0
"135";135;5
"136";136;5
"137";137;4
"138";138;2
"139";139;5
"140";140;1
"141";141;1
"142";142;5
"143";143;2
"144";144;2
"145";145;1
"146";146;1
"147";147;2
"148";148;5
"149";149;5
"150";150;2
"151";151;1
"152";152;5
"153";153;5
"154";154;2
"155";155;5
"156";156;5
"157";157;5
"158";158;5
"159";159;5
"160";160;5
"161";161;5
"162";162;5
"163";163;2
"164";164;2
"165";165;2
"166";166;2
"167";167;2
"168";168;5
"169";169;2
"170";170;5
"171";171;5
"172";172;3
"173";173;5
"174";174;5
"175";175;2
"176";176;5
"177";177;5
"178";178;5
"179";179;5
"180";180;5
"181";181;5
"182";182;2
"183";183;1
"184";184;5
"185";185;2
"186";186;3
"187";187;3
"188";188;3
"189";189;3
"190";190;5
"191";191;5
"192";192;5
"193";193;2
"194";194;2
"195";195;2
"196";196;5
"197";197;5
"198";198;5
"199";199;5
"200";200;5
"201";201;5
"202";202;5
"203";203;5
"204";204;1
"205";205;1
"206";206;1
"207";207;1
"208";208;5
"209";209;5
"210";210;2
"211";211;1
"212";212;5
"213";213;5
"214";214;5
"215";215;5
"216";216;3
"217";217;2
"218";218;5
"219";219;5
"220";220;5
"221";221;5
"222";222;1
"223";223;5
"224";224;3
"225";225;2
"226";226;1
"227";227;5
"228";228;5
"229";229;2
"230";230;5
"231";231;5
"232";232;5
"233";233;5
