"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"femme";1;1;1;0,945;0,32
"droit";1;0,687;1;1;0,263
"égalité";1;0;1;1;1
"agir";1;0,618;0,701;1;0,966
"prendre";1;0,216;0,744;1;1
"loi";0,97;0,011;1;1;1
"permettre";1;1;1;0,194;0,012
"professionnel";1;0;1;1;1
"premier";0,97;0,042;0,064;1;1
"vie";0,145;0,015;1;1;1
"homme";1;0,131;1;1;1
"violence";0;1;1;1;1
"politique";1;1;1;0,128;0,196
"pays";1;1;1;1;0,059
"ministre";1;0,111;1;1;1
"mettre";0,857;1;1;1;0,114
"ensemble";1;1;1;1;0,001
"enfant";1;1;1;1;0,014
"combat";1;1;1;1;0,049
"société";1;0,122;1;1;1
"social";1;0,896;1;1;0,46
"liberté";1;1;1;1;0
"travail";1;0,015;1;1;1
"temps";1;0,715;1;1;0,694
"gouvernement";1;0,2;1;1;1
"france";0,083;0,942;1;1;1
"action";1;1;1;1;0,189
"rester";1;0,188;1;1;1
"fille";1;1;1;1;0
"cas";0,083;0,188;1;1;1
"aller";1;1;0,412;1;0,026
"également";1;1;1;1;0
"voir";0,663;0,01;1;1;1
"simplement";1;1;1;1;0,001
"familial";0,663;1;0,012;1;1
"année";0,59;0,003;1;1;1
"état";1;1;1;1;0,09
"éducation";1;1;1;1;0,003
"vivre";1;1;1;1;0,001
"seulement";1;1;0,306;1;0,003
"penser";1;0,715;0;1;1
"lutte";1;0,745;1;1;0,726
"grand";0,59;0,715;1;1;1
"famille";1;0,998;1;1;0,475
"venir";1;0,076;1;1;1
"problème";1;0,04;1;1;1
"particulier";1;0,17;1;1;1
"international";1;0,745;1;1;0,726
"emploi";1;0,17;1;1;1
"domaine";1;0,492;1;1;0,976
"tâche";1;1;1;1;0,024
"passer";1;1;1;1;0,072
"nom";0,352;0,025;1;1;1
"monde";1;1;1;1;0,002
"jeune";1;1;1;1;0,001
"fois";0,434;1;1;1;0,012
"fin";1;0,745;0;1;1
"exigence";1;0,011;1;1;1
"dignité";1;0,294;1;1;1
"corps";1;1;0,001;1;0,137
"cause";1;0,745;1;1;0,726
"autonomie";1;0,005;1;1;1
"victime";0;1;1;1;1
"serment";1;1;1;1;0,101
"sentir";1;1;1;1;0,002
"rôle";1;0,266;1;1;1
"projet";0,185;0,105;1;1;1
"place";0,268;0,78;1;1;1
"nombre";1;0,052;1;1;1
"mener";1;0,052;1;1;1
"lieu";1;1;0,027;1;0,207
"entendre";1;0,003;1;1;1
"dernier";1;0,003;1;1;1
"comprendre";1;0,78;1;1;0,763
"appeler";0,352;1;1;0,01;0,476
"trouver";1;0,478;1;1;1
"situation";1;1;1;1;0,465
"sexe";1;0,78;1;1;0,763
"réforme";1;0,052;1;1;1
"question";1;1;1;1;0,049
"principe";1;0,005;1;1;1
"plan";1;1;1;1;0,049
"notamment";1;0,78;0,1;1;1
"montrer";1;1;1;0,002;0,465
"ivg";1;1;1;1;0,011
"important";1;0,266;1;1;1
"formation";1;0,266;1;1;1
"exemple";1;0,052;1;1;1
"développement";1;1;1;1;0,005
"définir";1;0,052;1;1;1
"considérer";1;1;1;1;0,049
"condition";1;1;1;1;0,049
"chômage";1;1;1;1;0,256
"choisir";1;1;1;1;0,207
"utiliser";0,185;1;0,059;1;0,465
"tenir";1;0,105;1;1;1
"statut";1;0,011;1;1;1
"salaire";1;0,105;1;1;1
"république";1;1;1;1;0,011
"réduire";1;1;0,059;1;0,101
"réalité";0,185;1;1;1;0,465
"réaliser";1;0,105;1;1;1
"responsabilité";1;0,011;1;1;1
"respecter";1;0,105;1;1;1
"reconnaître";1;0,011;1;1;1
"prostitution";1;1;0;1;1
"progrès";1;0,478;1;1;1
"possible";1;1;0,059;1;0,101
"personnel";1;1;0,059;1;0,465
"partir";1;1;0,059;1;0,465
"parler";1;0,105;1;1;1
"ouvrir";0,185;1;0,059;1;0,465
"organisation";1;0,478;1;0,002;1
"oeuvre";1;1;1;1;0,101
"objectif";1;0,011;1;1;1
"nouvelle";1;1;0;1;0,465
"moyen";1;0,105;1;1;1
"mouvement";1;1;1;1;0,023
"moment";1;0,478;1;1;1
"mois";0,185;0,105;1;1;1
"long";1;1;1;0,002;1
"jour";1;0,011;1;1;1
"imposer";1;0,024;1;1;1
"essentiel";1;0,011;1;1;1
"engagement";1;0,105;1;1;1
"donner";1;0,011;1;1;1
"disposer";1;1;1;1;0,023
"discrimination";1;0,011;1;1;1
"cours";1;0,011;1;1;1
"convenir";1;1;1;0,002;0,465
"constituer";1;0,105;1;1;1
"connaître";1;1;1;0;1
"conjoint";1;1;1;1;0,207
"commencer";1;0,105;1;1;1
"chose";1;1;1;1;0,011
"choix";1;1;1;1;0,101
"atteindre";1;0,478;0,059;1;1
"assurer";1;0,011;1;1;1
"affirmer";1;0,105;1;1;1
"activité";1;0,011;1;1;1
"acte";0,108;1;1;1;0,806
"étape";1;0,024;1;1;1
"établir";1;1;1;1;0,425
"égal";1;0,051;1;1;1
"école";0,108;1;1;1;0,806
"voter";0,108;0,214;1;1;1
"veiller";1;1;1;1;0,425
"seul";1;1;1;1;0,023
"service";1;1;1;1;0,023
"saluer";0,108;1;1;1;0,806
"remercier";1;1;1;0;0,207
"religieux";1;0,82;1;1;0,806
"reconnaissance";1;0,82;1;1;0,806
"rappeler";1;0,82;1;1;0,806
"protéger";1;0,214;1;1;1
"protection";1;1;1;1;0,023
"progressivement";1;1;0,027;1;0,806
"programme";1;1;1;1;0,023
"prochain";1;0,024;1;1;1
"police";1;0,82;1;1;0,806
"partager";1;0,82;1;1;0,806
"part";1;0,051;1;1;1
"paraître";1;1;1;1;0,207
"oublier";0,108;0,82;1;1;1
"objet";1;0,82;1;1;0,806
"nécessaire";1;0,82;1;0;1
"mère";1;1;1;1;0,049
"mesure";1;0,82;1;1;0,806
"législation";1;0,214;1;1;1
"inégalité";1;0,214;1;1;1
"information";1;1;1;1;0,023
"humain";0,108;1;0,027;1;1
"génération";1;1;1;0;1
"gouvernemental";1;0,214;1;1;1
"garder";1;1;1;1;0,023
"féminin";1;1;1;1;0,207
"façon";1;0,024;1;1;1
"engager";1;1;1;1;0,023
"décision";1;0,051;1;1;1
"doute";1;0,214;1;1;1
"disposition";0,108;0,214;1;1;1
"disparaître";1;0,024;1;1;1
"concerner";1;1;0;1;1
"collectif";1;1;1;1;0,023
"chemin";1;1;1;1;0,023
"appliquer";1;0,214;1;1;1
"accès";1;1;1;1;0,023
"évoquer";0;1;1;1;1
"évolution";1;1;1;0;0,425
"étroit";1;1;1;1;0,425
"élever";1;1;1;1;0,049
"égard";1;0,435;1;1;1
"économique";1;1;1;1;0,425
"âge";1;1;1;1;0,425
"à_juste_titre";1;0,051;1;1;1
"yvetteroudy";1;0,435;1;1;1
"véritable";1;1;1;1;0,425
"vrai";1;0,435;1;1;1
"voie";1;1;1;0;0,425
"viol";0,046;1;1;1;1
"versement";1;0,435;0,008;1;1
"valeur";0,046;0,435;1;1;1
"traitement";1;0,051;1;1;1
"terme";1;0,435;1;1;1
"suite";1;1;1;0;1
"suffire";1;0,435;1;1;1
"simple";1;0,051;1;1;1
"simonedebeauvoir";1;1;1;1;0,425
"réserver";1;0,435;1;1;1
"régime";1;1;1;1;0,049
"réel";1;1;1;1;0,425
"réduction";1;0,051;1;1;1
"récemment";0;1;1;1;1
"règle";1;0,051;1;1;1
"revenir";1;1;0,008;1;1
"respect";1;0,435;1;1;1
"reprendre";1;0,435;1;0;1
"renforcer";1;1;1;1;0,425
"rendre";1;1;1;0;0,425
"recevoir";1;1;0,008;1;0,425
"quota";1;0,435;1;0;1
"punir";1;1;0,008;1;0,425
"présenter";1;0,051;1;1;1
"présent";1;0,435;1;1;1
"préparer";1;0,435;1;1;1
"proposition";1;0,435;1;1;1
"prestation";1;1;0,008;1;0,425
"porter";1;1;1;1;0,049
"pleinement";1;0,435;1;1;1
"pierremauroy";1;0,051;1;1;1
"partiel";1;1;1;1;0,049
"occidental";1;0,051;1;1;1
"nécessité";1;1;0,008;1;1
"nombreux";1;1;1;1;0,425
"naturellement";0,046;1;1;1;0,425
"nation";1;0,435;1;1;1
"modifier";0,046;1;1;1;1
"mixité";0,046;1;1;1;0,425
"marquer";0,046;0,435;1;1;1
"mari";1;0,435;1;1;1
"marcher";1;0,435;1;1;1
"manière";0,046;1;1;1;0,425
"ligne";1;1;1;1;0,425
"lever";1;0,435;1;1;1
"internet";1;1;0,008;1;0,425
"inspirer";0,046;1;1;1;1
"initiative";1;1;0;1;1
"heureux";0,046;1;0,008;1;1
"guerre";0;1;1;1;1
"garçon";1;1;1;1;0,049
"forme";1;0,435;0,008;1;1
"fondamental";1;1;0;1;1
"fait";1;0,435;1;1;1
"exister";1;1;1;1;0,425
"européen";1;0,051;1;1;1
"effort";1;0,435;1;1;1
"développer";0;1;1;1;1
"désormais";1;1;1;1;0,049
"débat";1;1;0,008;1;0,425
"domestique";1;0,435;1;1;1
"crise";1;1;0,008;1;0,425
"convention";0,046;0,435;1;1;1
"contraception";1;1;1;1;0,049
"conseil";0,046;1;1;1;1
"concrétiser";1;0,051;1;1;1
"concertation";1;1;1;1;0,425
"comporter";1;0,435;1;1;1
"citer";1;1;1;1;0,049
"cher";1;1;1;1;0,425
"charger";1;1;1;1;0,425
"changement";1;1;1;1;0,425
"attacher";1;0,435;1;1;1
"association";1;1;1;1;0,425
"arrêter";1;1;1;1;0,049
"arriver";1;0,435;1;1;1
"agriculteur";1;0,435;1;1;1
"actuel";1;1;1;1;0,425
"acquérir";1;1;0,008;1;0,425
"*loc_mitterand";1;0;1;0,096;1
"*date_1982";1;0;1;0,096;1
"*loc_chirac";0,001;1;1;1;0,293
"*date_2006";0,001;1;1;1;0,293
"*loc_hollande";0,029;1;0,002;1;0,008
"*date_2017";0,029;1;0,002;1;0,008
