"";"";"";"";"problème";""
"1";"problème";"-0.131340637743362";"0.0641027019669169";"1.04484621270777";"12"
"2";"dignité";"-0.127014495400844";"0.0684533253585488";"0.984132719361397";"14"
"3";"droit";"-0.0642412871247119";"0.131581758653454";"0.954916529700213";"18"
"4";"étape";"-0.139992922428398";"0.0554014551836527";"0.941060505213781";"20"
"5";"objectif";"-0.124418809995333";"0.071063699393528";"0.901753623385267";"24"
"6";"jour";"-0.124418809995333";"0.071063699393528";"0.901753623385267";"25"
"7";"règle";"-0.131340637743362";"0.0641027019669168";"0.878404578528188";"28"
"8";"agriculteur";"-0.131340637743362";"0.0641027019669168";"0.878404578528188";"29"
"9";"réforme";"-0.114036068373289";"0.081505195533445";"0.875954124161788";"30"
"10";"conjoint";"-0.114036068373289";"0.0815051955334449";"0.849686448697574";"33"
"11";"reconnaissance";"-0.114036068373289";"0.0815051955334449";"0.849686448697574";"34"
"12";"ministre";"-0.096731499003216";"0.0989076890999731";"0.84735552869051";"35"
"13";"politique";"-0.0621223602630702";"0.133712676233029";"0.846668206124325";"36"
"14";"pays";"-0.0621223602630702";"0.133712676233029";"0.83985474764214";"38"
"15";"enfant";"-0.0621223602630702";"0.133712676233029";"0.83985474764214";"39"
"16";"travail";"-0.0621223602630702";"0.133712676233029";"0.83985474764214";"40"
"17";"action";"-0.0621223602630702";"0.133712676233029";"0.83985474764214";"41"
"18";"combat";"-0.0621223602630702";"0.133712676233029";"0.833170784715902";"43"
"19";"prostitution";"-0.103653326751245";"0.0919466916733618";"0.832981521980286";"44"
"20";"manière";"-0.344401173582874";"-1.19761028826765";"0.832324083003935";"49"
"21";"domestique";"-0.344401173582874";"-1.19761028826765";"0.832324083003935";"50"
"22";"convention";"-0.344401173582874";"-1.19761028826765";"0.832324083003935";"51"
"23";"éducation";"-0.0621223602630702";"0.133712676233029";"0.829873628637535";"53"
"24";"famille";"-0.0621223602630702";"0.133712676233029";"0.826616317345613";"55"
"25";"domaine";"-0.0621223602630702";"0.133712676233029";"0.826616317345613";"56"
"26";"fin";"-0.0621223602630702";"0.133712676233029";"0.823378928446914";"58"
"27";"france";"-0.225531478093912";"-0.601955755439994";"0.822243352033216";"59"
"28";"tâche";"-0.0621223602630702";"0.133712676233029";"0.82018138433466";"60"
"29";"monde";"-0.0621223602630702";"0.133712676233029";"0.82018138433466";"61"
"30";"société";"-0.0695386042788157";"0.126254464704517";"0.819872587239707";"63"
"31";"école";"-0.273831470252923";"-0.864779547142481";"0.819852664846484";"64"
"32";"police";"-0.273831470252923";"-0.864779547142481";"0.819852664846484";"65"
"33";"sexe";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"66"
"34";"question";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"67"
"35";"principe";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"68"
"36";"plan";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"69"
"37";"formation";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"70"
"38";"exemple";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"71"
"39";"développement";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"72"
"40";"condition";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"73"
"41";"chômage";"-0.0621223602630702";"0.133712676233029";"0.817003762615629";"74"
"42";"égalité";"-0.0851951194231674";"0.110509351477658";"0.814672842608566";"75"
"43";"situation";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"77"
"44";"ivg";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"78"
"45";"salaire";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"79"
"46";"république";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"80"
"47";"oeuvre";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"81"
"48";"moyen";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"82"
"49";"moment";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"83"
"50";"cours";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"84"
"51";"chose";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"85"
"52";"choix";"-0.0621223602630702";"0.133712676233029";"0.813865985683044";"86"
"53";"réalité";"-0.25225513149904";"-0.685964094747213";"0.812640758499844";"87"
"54";"mois";"-0.231489648254952";"-0.665081102467379";"0.812640758499844";"88"
"55";"fille";"-0.139107491168471";"-0.229375404994429";"0.811286035760696";"89"
"56";"mouvement";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"91"
"57";"service";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"92"
"58";"protection";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"93"
"59";"programme";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"94"
"60";"mesure";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"95"
"61";"législation";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"96"
"62";"inégalité";"-0.0621223602630702";"0.133712676233029";"0.810748131143681";"97"
