"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"4";"221";"1.81";"****";""
"3";" 3";"100.00";"164.990";"versement";"9.195272e-38"
"2";" 3";" 66.67";" 71.983";"décision";"2.170271e-17"
"1";" 5";" 20.00";"  9.524";"responsabilité";"2.027499e-03"
"1";"10";" 10.00";"  3.953";"temps";"4.678272e-02"
"1";"11";"  9.09";"  3.453";"cas";"6.313388e-02"
"1";"13";"  7.69";"  2.689";"gouvernement";"1.010242e-01"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"4";"131";"3.05";"2.799";"*loc_mitterand";"0.09433797"
"4";"131";"3.05";"2.799";"*date_1982";"0.09433797"
"**";"classe";"2";"**";"";""
"****";"15";"221";"6.79";"****";""
"7";" 7";"100.00";"99.278";"victime";"2.194453e-23"
"9";"12";" 75.00";"93.322";"violence";"4.444555e-22"
"4";" 4";"100.00";"55.946";"acte";"7.449181e-14"
"2";" 3";" 66.67";"17.236";"guerre";"3.301172e-05"
"2";" 4";" 50.00";"12.024";"objet";"5.252624e-04"
"2";" 4";" 50.00";"12.024";"façon";"5.252624e-04"
"2";" 4";" 50.00";"12.024";"disposition";"5.252624e-04"
"2";" 8";" 25.00";" 4.352";"fois";"3.696833e-02"
"1";" 3";" 33.33";" 3.388";"à_juste_titre";"6.569184e-02"
"1";" 3";" 33.33";" 3.388";"viol";"6.569184e-02"
"1";" 3";" 33.33";" 3.388";"valeur";"6.569184e-02"
"1";" 3";" 33.33";" 3.388";"manière";"6.569184e-02"
"1";" 3";" 33.33";" 3.388";"domestique";"6.569184e-02"
"1";" 3";" 33.33";" 3.388";"convention";"6.569184e-02"
"1";" 3";" 33.33";" 3.388";"conseil";"6.569184e-02"
"2";"11";" 18.18";" 2.376";"france";"1.232408e-01"
"1";" 4";" 25.00";" 2.136";"école";"1.438930e-01"
"1";" 4";" 25.00";" 2.136";"police";"1.438930e-01"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"5";"21";"23.81";"10.628";"*loc_chirac";"0.001114071"
"5";"21";"23.81";"10.628";"*date_2006";"0.001114071"
"**";"classe";"3";"**";"";""
"****";"4";"221";"1.81";"****";""
"4";" 4";"100.00";"221.000";"chemin";"5.473439e-50"
"1";" 3";" 33.33";" 17.005";"mère";"3.727326e-05"
"1";" 3";" 33.33";" 17.005";"initiative";"3.727326e-05"
"1";" 5";" 20.00";"  9.524";"serment";"2.027499e-03"
"1";" 8";" 12.50";"  5.337";"lutte";"2.087305e-02"
"1";"12";"  8.33";"  3.038";"liberté";"8.131874e-02"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"2";"21";"9.52";"7.769";"*loc_chirac";"0.005313773"
"2";"21";"9.52";"7.769";"*date_2006";"0.005313773"
"**";"classe";"4";"**";"";""
"****";"170";"221";"76.92";"****";""
"100";"112";" 89.29";"19.551";"femme";"9.794361e-06"
" 48";" 49";" 97.96";"15.695";"droit";"7.442808e-05"
" 16";" 16";"100.00";" 5.175";"homme";"2.291900e-02"
" 15";" 15";"100.00";" 4.828";"politique";"2.800646e-02"
" 13";" 13";"100.00";" 4.144";"pays";"4.178850e-02"
" 13";" 13";"100.00";" 4.144";"enfant";"4.178850e-02"
" 13";" 13";"100.00";" 4.144";"travail";"4.178850e-02"
" 13";" 13";"100.00";" 4.144";"action";"4.178850e-02"
" 11";" 11";"100.00";" 3.473";"combat";"6.238347e-02"
" 10";" 10";"100.00";" 3.142";"éducation";"7.629177e-02"
"  9";"  9";"100.00";" 2.815";"famille";"9.340886e-02"
"  9";"  9";"100.00";" 2.815";"domaine";"9.340886e-02"
"  8";"  8";"100.00";" 2.490";"fin";"1.145615e-01"
"  7";"  7";"100.00";" 2.169";"tâche";"1.408460e-01"
"  7";"  7";"100.00";" 2.169";"monde";"1.408460e-01"
"  7";"  7";"100.00";" 2.169";"corps";"1.408460e-01"
" 13";" 14";" 92.86";" 2.138";"société";"1.437071e-01"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"**";"classe";"5";"**";"";""
"****";"28";"221";"12.67";"****";""
"5";" 5";"100.00";"35.262";"exigence";"2.881904e-09"
"5";" 5";"100.00";"35.262";"projet";"2.881904e-09"
"5";" 5";"100.00";"35.262";"statut";"2.881904e-09"
"5";" 5";"100.00";"35.262";"essentiel";"2.881904e-09"
"5";" 6";" 83.33";"27.833";"autonomie";"1.322230e-07"
"6";" 9";" 66.67";"24.723";"problème";"6.617791e-07"
"5";" 8";" 62.50";"18.628";"dignité";"1.588952e-05"
"7";"16";" 43.75";"15.059";"loi";"1.041977e-04"
"3";" 4";" 75.00";"14.304";"étape";"1.555261e-04"
"3";" 5";" 60.00";"10.358";"objectif";"1.289470e-03"
"3";" 5";" 60.00";"10.358";"jour";"1.289470e-03"
"2";" 3";" 66.67";" 8.014";"règle";"4.640958e-03"
"2";" 3";" 66.67";" 8.014";"agriculteur";"4.640958e-03"
"3";" 6";" 50.00";" 7.768";"réforme";"5.318601e-03"
"2";" 4";" 50.00";" 5.131";"conjoint";"2.350489e-02"
"2";" 4";" 50.00";" 5.131";"reconnaissance";"2.350489e-02"
"4";"12";" 33.33";" 4.897";"ministre";"2.690684e-02"
"2";" 5";" 40.00";" 3.454";"prostitution";"6.311567e-02"
"*****";"*";"*";"*";"*";"*"
"2";"5";"40";"3.454";"mme";"0.06311567"
"*";"*";"*";"*";"*";"*"
"22";"131";"16.79";"4.945";"*loc_mitterand";"0.02616529"
"22";"131";"16.79";"4.945";"*date_1982";"0.02616529"
