"";"";"";"";"pouvoir";""
"1";"pouvoir";"0.147573443777897";"-0.0507192406124101";"0.812918565865915";"25"
"2";"mettre";"0.133404439858441";"0.183668035462228";"0.809847759225656";"27"
"3";"falloir";"0.133404439858441";"0.183668035462228";"0.809847759225656";"28"
"4";"aller";"0.133404439858441";"0.183668035462228";"0.807973508276257";"29"
"5";"rester";"0.133404439858441";"0.183668035462228";"0.80705226628418";"30"
"6";"venir";"0.133404439858441";"0.183668035462228";"0.80434148525002";"31"
"7";"passer";"0.133404439858441";"0.183668035462228";"0.80434148525002";"32"
"8";"sentir";"0.133404439858441";"0.183668035462228";"0.803452010223187";"33"
"9";"entendre";"0.133404439858441";"0.183668035462228";"0.803452010223187";"34"
"10";"permettre";"0.163316781466181";"-0.311149547362008";"0.802806081929891";"35"
"11";"mener";"0.133404439858441";"0.183668035462228";"0.802573124184768";"36"
"12";"comprendre";"0.133404439858441";"0.183668035462228";"0.802573124184768";"37"
"13";"considérer";"0.133404439858441";"0.183668035462228";"0.802573124184768";"38"
"14";"trouver";"0.133404439858441";"0.183668035462228";"0.801704827134764";"39"
"15";"montrer";"0.133404439858441";"0.183668035462228";"0.801704827134764";"40"
"16";"utiliser";"0.133404439858441";"0.183668035462228";"0.801704827134764";"41"
"17";"tenir";"0.133404439858441";"0.183668035462228";"0.801704827134764";"42"
"18";"réaliser";"0.133404439858441";"0.183668035462228";"0.801704827134764";"43"
"19";"respecter";"0.133404439858441";"0.183668035462228";"0.801704827134764";"44"
"20";"reconnaître";"0.133404439858441";"0.183668035462228";"0.801704827134764";"45"
"21";"parler";"0.133404439858441";"0.183668035462228";"0.801704827134764";"46"
"22";"ouvrir";"0.133404439858441";"0.183668035462228";"0.801704827134764";"47"
"23";"donner";"0.133404439858441";"0.183668035462228";"0.801704827134764";"48"
"24";"constituer";"0.133404439858441";"0.183668035462228";"0.801704827134764";"49"
"25";"connaître";"0.133404439858441";"0.183668035462228";"0.801704827134764";"50"
"26";"atteindre";"0.133404439858441";"0.183668035462228";"0.801704827134764";"51"
"27";"assurer";"0.133404439858441";"0.183668035462228";"0.801704827134764";"52"
"28";"affirmer";"0.133404439858441";"0.183668035462228";"0.801704827134764";"53"
"29";"imposer";"0.133404439858441";"0.183668035462228";"0.800847119073175";"54"
"30";"disposer";"0.133404439858441";"0.183668035462228";"0.800847119073175";"55"
"31";"commencer";"0.133404439858441";"0.183668035462228";"0.800847119073175";"56"
"32";"voter";"0.133404439858441";"0.183668035462228";"0.800847119073175";"57"
"33";"saluer";"0.133404439858441";"0.183668035462228";"0.800847119073175";"58"
"34";"remercier";"0.133404439858441";"0.183668035462228";"0.800847119073175";"59"
"35";"rappeler";"0.133404439858441";"0.183668035462228";"0.800847119073175";"60"
"36";"protéger";"0.133404439858441";"0.183668035462228";"0.800847119073175";"61"
"37";"paraître";"0.133404439858441";"0.183668035462228";"0.800847119073175";"62"
"38";"garder";"0.133404439858441";"0.183668035462228";"0.800847119073175";"63"
"39";"engager";"0.133404439858441";"0.183668035462228";"0.800847119073175";"64"
"40";"disparaître";"0.133404439858441";"0.183668035462228";"0.800847119073175";"65"
"41";"concerner";"0.133404439858441";"0.183668035462228";"0.800847119073175";"66"
"42";"revenir";"0.133404439858441";"0.183668035462228";"0.8";"67"
"43";"renforcer";"0.133404439858441";"0.183668035462228";"0.8";"68"
"44";"rendre";"0.133404439858441";"0.183668035462228";"0.8";"69"
"45";"punir";"0.133404439858441";"0.183668035462228";"0.8";"70"
"46";"préparer";"0.133404439858441";"0.183668035462228";"0.8";"71"
"47";"porter";"0.133404439858441";"0.183668035462228";"0.8";"72"
"48";"modifier";"0.133404439858441";"0.183668035462228";"0.8";"73"
"49";"lever";"0.133404439858441";"0.183668035462228";"0.8";"74"
"50";"inspirer";"0.133404439858441";"0.183668035462228";"0.8";"75"
"51";"exister";"0.133404439858441";"0.183668035462228";"0.8";"76"
"52";"concrétiser";"0.133404439858441";"0.183668035462228";"0.8";"77"
"53";"charger";"0.133404439858441";"0.183668035462228";"0.8";"78"
"54";"arriver";"0.133404439858441";"0.183668035462228";"0.8";"79"
