"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"faire";-0,0636384217115394;0,167078207059058;-0,232784670709874;-0,216811586108207;0,569223593268676;-0,793080851487123;0,0620209601701202;0,377938741987005;0,560040297842872;0,000339218097741626;0,00233819014774258;0,00453888280847472;0,0837606837606838;0,214208537035887;0,00384338387968152
"pouvoir";0,147573443777897;-0,0507192406124101;-0,222233228875617;0,543453789446945;-0,186778615468037;-0,818395825710029;0,379527834829127;0,0396328049120287;0,580839360258844;0,00141463420465262;0,000167098755547663;0,00320808393953218;0,0649572649572649;0,200804302226399;0,00261923072841021
"devoir";0,133404439858441;0,183668035462227;-0,24404323044715;0,400255326301824;0,551061940240944;-0,732206536289391;0,202668607901479;0,339621514600557;0,457709877497964;0,000912653567894582;0,00172994601284892;0,00305421017061953;0,0512820512820513;0,248406902300858;0,00316440969798502
"vouloir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000699701068719178;0,00132629194318418;0,0023415611308083;0,0393162393162393;0,248406902300858;0,00242604743512184
"agir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,000547592140736748;0,00103796760770936;0,00183252610237172;0,0307692307692308;0,248406902300858;0,00189864581879101
"prendre";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000578013926333234;0,00109563247480433;0,00193433310805903;0,0324786324786325;0,248406902300858;0,00200412614205718
"permettre";0,163316781466181;-0,311149547362008;-0,197999893796135;0,404901969553478;-0,771415303568414;-0,490889829261277;0,192276437111074;0,616999630394333;0,190723932494593;0,000820688341799148;0,00297889356380254;0,00120627562902403;0,0307692307692308;0,312215454913783;0,00299933816267755
"dire";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,000547592140736748;0,00103796760770936;0,00183252610237172;0,0307692307692308;0,248406902300858;0,00189864581879101
"savoir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000517170355140262;0,000980302740614396;0,0017307190966844;0,0290598290598291;0,248406902300858;0,00179316549552484
"mettre";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000425904998350804;0,000807308139329503;0,00142529807962245;0,0239316239316239;0,248406902300858;0,00147672452572634
