"";"classe 1";"classe 2";"classe 3";"classe 4"
"faire";-0,036;-1,257;-1,904;2,561
"pouvoir";-1,145;-0,912;-0,011;1,457
"devoir";-0,863;-0,687;-1,041;2,725
"vouloir";-0,637;-0,507;-0,768;2,01
"agir";-0,485;-0,386;-0,585;1,531
"prendre";-0,515;-0,41;-0,621;1,625
"permettre";-0,485;-0,386;0,502;0,081
"dire";-0,485;-0,386;-0,585;1,531
"savoir";-0,456;-0,363;-0,55;1,439
"mettre";-0,37;-0,294;-0,446;1,167
"falloir";-0,37;-0,294;-0,446;1,167
"rester";-0,286;-0,228;-0,345;0,903
"aller";-0,314;-0,25;-0,378;0,99
"voir";2,214;-0,228;-0,345;-0,061
"vivre";-0,205;4,935;-0,247;-0,348
"penser";-0,259;-0,206;1,899;-0,122
"venir";-0,205;-0,163;-0,247;0,647
"passer";-0,205;-0,163;-0,247;0,647
"sentir";-0,178;-0,142;-0,215;0,563
"mener";-0,152;-0,121;-0,184;0,48
"entendre";-0,178;-0,142;-0,215;0,563
"comprendre";-0,152;-0,121;-0,184;0,48
"appeler";-0,178;5,87;-0,215;-0,542
"trouver";-0,126;-0,1;-0,152;0,398
"montrer";-0,126;-0,1;-0,152;0,398
"définir";-0,152;-0,121;4,189;-0,825
"considérer";-0,152;-0,121;-0,184;0,48
"choisir";-0,1;208;-0,121;-52,476
"utiliser";-0,126;-0,1;-0,152;0,398
"tenir";-0,126;-0,1;-0,152;0,398
"réduire";-0,126;-0,1;108,754;-40,564
"réaliser";-0,126;-0,1;-0,152;0,398
"respecter";-0,126;-0,1;-0,152;0,398
"reconnaître";-0,126;-0,1;-0,152;0,398
"partir";-0,126;8,876;-0,152;-1,252
"parler";-0,126;-0,1;-0,152;0,398
"ouvrir";-0,126;-0,1;-0,152;0,398
"imposer";-0,1;-0,08;-0,121;0,317
"donner";-0,126;-0,1;-0,152;0,398
"disposer";-0,1;-0,08;-0,121;0,317
"convenir";-0,126;8,876;-0,152;-1,252
"constituer";-0,126;-0,1;-0,152;0,398
"connaître";-0,126;-0,1;-0,152;0,398
"commencer";-0,1;-0,08;-0,121;0,317
"atteindre";-0,126;-0,1;-0,152;0,398
"assurer";-0,126;-0,1;-0,152;0,398
"affirmer";-0,126;-0,1;-0,152;0,398
"établir";-0,075;15,922;-0,09;-3,104
"voter";-0,1;-0,08;-0,121;0,317
"saluer";-0,1;-0,08;-0,121;0,317
"remercier";-0,1;-0,08;-0,121;0,317
"rappeler";-0,1;-0,08;-0,121;0,317
"protéger";-0,1;-0,08;-0,121;0,317
"partager";-0,1;-0,08;137,307;-52,476
"paraître";-0,1;-0,08;-0,121;0,317
"garder";-0,1;-0,08;-0,121;0,317
"engager";-0,1;-0,08;-0,121;0,317
"disparaître";-0,1;-0,08;-0,121;0,317
"concerner";-0,1;-0,08;-0,121;0,317
"appliquer";8,876;-0,08;-0,121;-1,929
"évoquer";123,582;-0,06;-0,09;-39,165
"élever";-0,075;15,922;-0,09;-3,104
"réserver";-0,075;15,922;-0,09;-3,104
"revenir";-0,075;-0,06;-0,09;0,237
"renforcer";-0,075;-0,06;-0,09;0,237
"rendre";-0,075;-0,06;-0,09;0,237
"punir";-0,075;-0,06;-0,09;0,237
"préparer";-0,075;-0,06;-0,09;0,237
"porter";-0,075;-0,06;-0,09;0,237
"modifier";-0,075;-0,06;-0,09;0,237
"lever";-0,075;-0,06;-0,09;0,237
"inspirer";-0,075;-0,06;-0,09;0,237
"exister";-0,075;-0,06;-0,09;0,237
"développer";123,582;-0,06;-0,09;-39,165
"concrétiser";-0,075;-0,06;-0,09;0,237
"comporter";-0,075;15,922;-0,09;-3,104
"charger";-0,075;-0,06;-0,09;0,237
"arrêter";-0,075;15,922;-0,09;-3,104
"arriver";-0,075;-0,06;-0,09;0,237
"être";-2,055;-9,176;0,577;3,864
"avoir";2,292;0,019;0,996;-2,607
"*loc_mitterand";-3,34;2,763;-0,237;0,265
"*date_1982";-3,34;2,763;-0,237;0,265
"*loc_chirac";5,88;-0,41;-0,621;-0,343
"*date_2006";5,88;-0,41;-0,621;-0,343
"*loc_hollande";0,183;-1,854;1,011;-0,033
"*date_2017";0,183;-1,854;1,011;-0,033
