"";"classe 1";"classe 2";"classe 3";"classe 4"
"faire";1;1;1;0,11
"pouvoir";1;1;1;0,227
"devoir";1;1;1;0,099
"vouloir";1;1;1;0,156
"agir";1;1;1;0,216
"prendre";1;1;1;0,202
"permettre";1;1;0,479;0,776
"dire";1;1;1;0,216
"savoir";1;1;1;0,23
"mettre";1;1;1;0,28
"falloir";1;1;1;0,28
"rester";1;1;1;0,342
"aller";1;1;1;0,32
"voir";0,137;1;1;1
"vivre";1;0,026;1;1
"penser";1;1;0,168;1
"venir";1;1;1;0,421
"passer";1;1;1;0,421
"sentir";1;1;1;0,453
"mener";1;1;1;0,488
"entendre";1;1;1;0,453
"comprendre";1;1;1;0,488
"appeler";1;0,015;1;1
"trouver";1;1;1;0,528
"montrer";1;1;1;0,528
"définir";1;1;0,041;1
"considérer";1;1;1;0,488
"choisir";1;0;1;1
"utiliser";1;1;1;0,528
"tenir";1;1;1;0,528
"réduire";1;1;0;1
"réaliser";1;1;1;0,528
"respecter";1;1;1;0,528
"reconnaître";1;1;1;0,528
"partir";1;0,003;1;1
"parler";1;1;1;0,528
"ouvrir";1;1;1;0,528
"imposer";1;1;1;0,573
"donner";1;1;1;0,528
"disposer";1;1;1;0,573
"convenir";1;0,003;1;1
"constituer";1;1;1;0,528
"connaître";1;1;1;0,528
"commencer";1;1;1;0,573
"atteindre";1;1;1;0,528
"assurer";1;1;1;0,528
"affirmer";1;1;1;0,528
"établir";1;0;1;1
"voter";1;1;1;0,573
"saluer";1;1;1;0,573
"remercier";1;1;1;0,573
"rappeler";1;1;1;0,573
"protéger";1;1;1;0,573
"partager";1;1;0;1
"paraître";1;1;1;0,573
"garder";1;1;1;0,573
"engager";1;1;1;0,573
"disparaître";1;1;1;0,573
"concerner";1;1;1;0,573
"appliquer";0,003;1;1;1
"évoquer";0;1;1;1
"élever";1;0;1;1
"réserver";1;0;1;1
"revenir";1;1;1;0,627
"renforcer";1;1;1;0,627
"rendre";1;1;1;0,627
"punir";1;1;1;0,627
"préparer";1;1;1;0,627
"porter";1;1;1;0,627
"modifier";1;1;1;0,627
"lever";1;1;1;0,627
"inspirer";1;1;1;0,627
"exister";1;1;1;0,627
"développer";0;1;1;1
"concrétiser";1;1;1;0,627
"comporter";1;0;1;1
"charger";1;1;1;0,627
"arrêter";1;0;1;1
"arriver";1;1;1;0,627
"*loc_mitterand";1;0,096;1;0,607
"*date_1982";1;0,096;1;0,607
"*loc_chirac";0,015;1;1;1
"*date_2006";0,015;1;1;1
"*loc_hollande";0,669;1;0,315;1
"*date_2017";0,669;1;0,315;1
