"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"femme";-0,0175183315727044;0,076562722283293;0,160438094344831;0,101556150703453;-0,0852548999664999;0,372600963872348;0,78078974743785;0,494234250178027;0,00919317617135204;0,162746165163703;0,610638812770035;0,217421845894911;2,027840554703e-05;0,00038733171071623;0,001700839408321;0,000681492032754374;0,0660766961651917;0,116816722191899;0,000901692281634127
"droit";0,229398886270003;-0,228115170963868;-0,143510666948199;0,263780529619692;0,519704956929332;-0,516796689941937;-0,325124529582193;0,597596836732004;0,316765529566239;0,290308382157904;0,0981777302751829;0,294748358000674;0,00152127941125308;0,00150430090263709;0,000595380687237719;0,00201146207818043;0,0289085545722714;0,260595800404584;0,00196318488981521
"égalité";-0,908297400386763;-1,23505530188203;-0,251986690813267;-0,125229985578819;-0,58272753944641;-0,792362431995845;-0,16166465328243;-0,0803425852921976;0,358687538892571;0,614651416779482;0,0218627440232157;0,00479830030473856;0,00876110620406392;0,0161985302517549;0,000674307529348894;0,000166540346421996;0,0106194690265487;0,969649977998449;0,00998464863538825
"agir";0,176502080924025;-0,240728269417976;-0,344212481064691;-0,0872693292287957;0,380476145254863;-0,518925122709748;-0,742000531996442;-0,188121849952818;0,16926171709557;0,291816067939374;0,509802107371142;0,0291201075939282;0,000330828154731092;0,000615399288817421;0,00125821839420223;8,08771945916171e-05;0,0106194690265487;0,27429350506545;0,000798976215091224
"prendre";-0,336412982287175;-0,141030252424743;-0,315378231185575;-0,207086595836222;-0,64103493901698;-0,268733146527238;-0,600953220713549;-0,39460350914694;0,470467260029629;0,0766309853775886;0,327443711979666;0,125458042613116;0,00126861368635733;0,000222950507304277;0,0011149292893269;0,000480715224380921;0,0112094395280236;0,313583432258698;0,00110227540457567
"loi";-0,832185308164945;-0,518572220060431;-0,104611448121732;0,0481247234562914;-0,842912586174238;-0,525256871084554;-0,105959941150804;0,0487450748162239;0,727398860420998;0,261786324169313;0,00910291049486976;0,00171190491481976;0,00653717887552174;0,00253845094908228;0,000103301994837766;2,18618431409512e-05;0,00943952802359882;0,623848020548159;0,00367373548310897
"permettre";0,831356350787112;0,162903965890921;0,779658718972181;0,210034036767825;0,710360420627073;0,139194858645791;0,666186882472575;0,179465600477021;0,562743506533593;0,0200260502268105;0,391953413993535;0,0252770292460611;0,00733968193268032;0,000281816305518481;0,0064552324042762;0,000468470406382173;0,0106194690265487;0,708560662708898;0,0053315916397006
"professionnel";-0,761090166104586;-1,10726890257035;-0,223637514666876;-0,0505377406209314;-0,558378123945147;-0,812354120517006;-0,164072933069912;-0,0370773005001149;0,329688380094132;0,646745710691443;0,0225429138141781;0,00102299540024647;0,00580966967315564;0,012296610728135;0,000501612711167206;2,5615973368829e-05;0,0100294985250737;0,847479800223729;0,00720340660789574
"premier";-0,614022019147169;-0,210742886623581;-0,740154734450318;-0,994218419350534;-0,438840805874235;-0,150617690105978;-0,528987707295816;-0,710566720341382;0,243609420615941;0,0265967130901254;0,280324171731298;0,449469694562636;0,00355891955159944;0,000419233644955182;0,00517124748959737;0,00933069277050974;0,00943952802359882;0,795393378650324;0,0059719233208333
"vie";-1,44029326964878;-0,095850727880676;-0,0277490715915568;-0,0635047895092633;-0,99664491823656;-0,066326173193079;-0,0192016249539592;-0,0439436377867151;0,994266262874129;0,00408119741317388;0,000292271906317761;0,00136026780637934;0,0159101953591401;7,04635436332273e-05;5,90568888761857e-06;3,09304765651953e-05;0,00766961651917404;0,923516469748888;0,00654128301396274
