"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"14";"232";"6.03";"****";""
"0";"49";"0";"-3.989";"droit";"0.04578813"
"*****";"*";"*";"*";"*";"*"
"3";"102";"2.94";"-3.072";"que";"0.07966498"
"0";" 38";"0.00";"-2.918";"pouvoir";"0.08757591"
"0";" 38";"0.00";"-2.918";"au";"0.08757591"
"0";" 36";"0.00";"-2.737";"plus";"0.09807531"
"0";" 29";"0.00";"-2.128";"leur";"0.14458781"
"*";"*";"*";"*";"*";"*"
"1";"138";"0.72";"-16.935";"*loc_mitterand";"3.867448e-05"
"1";"138";"0.72";"-16.935";"*date_1982";"3.867448e-05"
"**";"classe";"2";"**";"";""
"****";"103";"232";"44.4";"****";""
"0";"12";" 0.00";"-10.104";"liberté";"0.001479465"
"0";"11";" 0.00";" -9.220";"fille";"0.002393717"
"0";"11";" 0.00";" -9.220";"également";"0.002393717"
"0";"10";" 0.00";" -8.344";"seulement";"0.003869294"
"0";" 8";" 0.00";" -6.616";"vivre";"0.010108216"
"0";" 8";" 0.00";" -6.616";"jeune";"0.010108216"
"0";" 8";" 0.00";" -6.616";"fois";"0.010108216"
"1";"11";" 9.09";" -5.831";"simplement";"0.015748258"
"0";" 7";" 0.00";" -5.763";"monde";"0.016366806"
"0";" 7";" 0.00";" -5.763";"corps";"0.016366806"
"0";" 7";" 0.00";" -5.763";"victime";"0.016366806"
"0";" 7";" 0.00";" -5.763";"sentir";"0.016366806"
"2";"14";"14.29";" -5.472";"ensemble";"0.019322366"
"1";"10";"10.00";" -5.009";"éducation";"0.025222115"
"0";" 6";" 0.00";" -4.918";"développement";"0.026580047"
"0";" 5";" 0.00";" -4.080";"ivg";"0.043388958"
"0";" 5";" 0.00";" -4.080";"utiliser";"0.043388958"
"0";" 5";" 0.00";" -4.080";"république";"0.043388958"
"0";" 5";" 0.00";" -4.080";"réduire";"0.043388958"
"0";" 5";" 0.00";" -4.080";"possible";"0.043388958"
"0";" 5";" 0.00";" -4.080";"ouvrir";"0.043388958"
"0";" 5";" 0.00";" -4.080";"nouvelle";"0.043388958"
"0";" 5";" 0.00";" -4.080";"chose";"0.043388958"
"2";"12";"16.67";" -3.942";"violence";"0.047101082"
"2";"12";"16.67";" -3.942";"aller";"0.047101082"
"4";"18";"22.22";" -3.887";"permettre";"0.048665888"
"0";" 4";" 0.00";" -3.250";"lieu";"0.071430866"
"0";" 4";" 0.00";" -3.250";"mouvement";"0.071430866"
"0";" 4";" 0.00";" -3.250";"disposer";"0.071430866"
"0";" 4";" 0.00";" -3.250";"seul";"0.071430866"
"0";" 4";" 0.00";" -3.250";"service";"0.071430866"
"0";" 4";" 0.00";" -3.250";"remercier";"0.071430866"
"0";" 4";" 0.00";" -3.250";"protection";"0.071430866"
"0";" 4";" 0.00";" -3.250";"programme";"0.071430866"
"0";" 4";" 0.00";" -3.250";"information";"0.071430866"
"0";" 4";" 0.00";" -3.250";"garder";"0.071430866"
"0";" 4";" 0.00";" -3.250";"engager";"0.071430866"
"0";" 4";" 0.00";" -3.250";"collectif";"0.071430866"
"0";" 4";" 0.00";" -3.250";"chemin";"0.071430866"
"0";" 4";" 0.00";" -3.250";"accès";"0.071430866"
"1";" 7";"14.29";" -2.651";"tâche";"0.103489355"
"1";" 7";"14.29";" -2.651";"appeler";"0.103489355"
"3";"13";"23.08";" -2.536";"enfant";"0.111298483"
"0";" 3";" 0.00";" -2.427";"mère";"0.119281571"
"0";" 3";" 0.00";" -2.427";"évoquer";"0.119281571"
"0";" 3";" 0.00";" -2.427";"évolution";"0.119281571"
"0";" 3";" 0.00";" -2.427";"élever";"0.119281571"
"0";" 3";" 0.00";" -2.427";"voie";"0.119281571"
"0";" 3";" 0.00";" -2.427";"régime";"0.119281571"
"0";" 3";" 0.00";" -2.427";"récemment";"0.119281571"
"0";" 3";" 0.00";" -2.427";"rendre";"0.119281571"
"0";" 3";" 0.00";" -2.427";"recevoir";"0.119281571"
"0";" 3";" 0.00";" -2.427";"punir";"0.119281571"
"0";" 3";" 0.00";" -2.427";"prestation";"0.119281571"
"0";" 3";" 0.00";" -2.427";"porter";"0.119281571"
"0";" 3";" 0.00";" -2.427";"partiel";"0.119281571"
"0";" 3";" 0.00";" -2.427";"naturellement";"0.119281571"
"0";" 3";" 0.00";" -2.427";"mixité";"0.119281571"
"0";" 3";" 0.00";" -2.427";"manière";"0.119281571"
"0";" 3";" 0.00";" -2.427";"internet";"0.119281571"
"0";" 3";" 0.00";" -2.427";"initiative";"0.119281571"
"0";" 3";" 0.00";" -2.427";"heureux";"0.119281571"
"0";" 3";" 0.00";" -2.427";"guerre";"0.119281571"
"0";" 3";" 0.00";" -2.427";"garçon";"0.119281571"
"0";" 3";" 0.00";" -2.427";"fondamental";"0.119281571"
"0";" 3";" 0.00";" -2.427";"désormais";"0.119281571"
"0";" 3";" 0.00";" -2.427";"débat";"0.119281571"
"0";" 3";" 0.00";" -2.427";"crise";"0.119281571"
"0";" 3";" 0.00";" -2.427";"contraception";"0.119281571"
"0";" 3";" 0.00";" -2.427";"citer";"0.119281571"
"0";" 3";" 0.00";" -2.427";"arrêter";"0.119281571"
"0";" 3";" 0.00";" -2.427";"acquérir";"0.119281571"
"*****";"*";"*";"*";"*";"*"
"16";"57";"28.07";"-8.159";"ce";"0.004284067"
" 2";"16";"12.50";"-7.083";"là";"0.007783741"
"20";"65";"30.77";"-6.793";"nous";"0.009152139"
" 5";"25";"20.00";"-6.756";"vous";"0.009345420"
" 1";"11";" 9.09";"-5.831";"car";"0.015748258"
"30";"85";"35.29";"-4.502";"qui";"0.033845342"
" 2";"12";"16.67";"-3.942";"ceux";"0.047101082"
" 6";"23";"26.09";"-3.467";"vouloir";"0.062598044"
" 0";" 4";" 0.00";"-3.250";"chaque";"0.071430866"
" 1";" 7";"14.29";"-2.651";"encore";"0.103489355"
" 1";" 7";"14.29";"-2.651";"beaucoup";"0.103489355"
" 0";" 3";" 0.00";"-2.427";"aucune";"0.119281571"
" 0";" 3";" 0.00";"-2.427";"peu";"0.119281571"
" 0";" 3";" 0.00";"-2.427";"davantage";"0.119281571"
" 0";" 3";" 0.00";"-2.427";"chacune";"0.119281571"
" 7";"23";"30.43";"-2.016";"tout";"0.155644433"
"*";"*";"*";"*";"*";"*"
"16";"72";"22.22";"-20.795";"*loc_hollande";"5.112697e-06"
"16";"72";"22.22";"-20.795";"*date_2017";"5.112697e-06"
" 5";"22";"22.73";" -4.623";"*loc_chirac";"3.154495e-02"
" 5";"22";"22.73";" -4.623";"*date_2006";"3.154495e-02"
"**";"classe";"3";"**";"";""
"****";"9";"232";"3.88";"****";""
"2";"112";"1.79";"-2.545";"femme";"0.1106228"
"*****";"*";"*";"*";"*";"*"
"1";" 87";"1.15";"-2.782";"d";"0.09532927"
