"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"femme";-0,175;-0,037;-2,545;0,99;0,005
"droit";-3,989;0,163;-0,563;1,255;-1,09
"égalité";-1,253;19,8;-0,788;-11,686;-0,342
"agir";-1,253;0,248;0,147;0,002;-0,342
"prendre";-0,022;1,527;0,106;-1,289;-0,363
"loi";0,001;6,52;-0,694;-4,435;-0,301
"permettre";-1,253;-3,887;-0,788;6,324;1,691
"professionnel";-1,178;14,281;-0,74;-7,721;-0,322
"premier";0,001;4,129;3,425;-6,906;-0,301
"vie";2,123;5,902;-0,556;-7,355;-0,242
"homme";-1,104;2,282;-0,694;-0,292;-0,301
"violence";82,044;-3,942;-0,511;-3,828;-0,222
"politique";-1,03;-0,795;-0,647;1,674;2,312
"pays";-0,884;-1,036;-0,556;3,568;-0,242
"ministre";-0,813;2,542;-0,511;-0,581;-0,222
"mettre";0,032;-1,511;-0,601;2,497;-0,261
"ensemble";-0,957;-5,472;-0,601;10,541;-0,261
"enfant";-0,884;-2,536;-0,556;6,072;-0,242
"combat";-0,742;-1,372;-0,466;3,877;-0,203
"société";-0,957;2,387;-0,601;-0,412;-0,261
"social";-0,884;0,017;-0,556;0,546;-0,242
"liberté";-0,813;-10,104;-0,511;16,128;-0,222
"travail";-0,884;5,902;-0,556;-2,439;-0,242
"temps";-0,671;0,133;-0,422;0,154;-0,183
"gouvernement";-0,884;1,639;-0,556;-0,169;-0,242
"france";3,005;0,005;-0,466;-0,271;-0,203
"action";-0,884;-0,197;-0,556;1,726;-0,242
"rester";-0,742;1,732;-0,466;-0,271;-0,203
"fille";-0,742;-9,22;-0,466;14,717;-0,203
"cas";3,005;1,732;-0,466;-3,116;-0,203
"aller";-0,813;-3,942;0,673;4,947;-0,222
"également";-0,742;-9,22;-0,466;14,717;-0,203
"voir";0,19;6,551;-0,466;-5,701;-0,203
"simplement";-0,742;-5,831;-0,466;10,329;-0,203
"familial";0,19;-0,302;6,335;-0,271;-0,203
"année";0,29;8,804;-0,422;-8,2;-0,183
"état";-0,671;-0,877;-0,422;2,875;-0,183
"éducation";-0,671;-5,009;-0,422;8,989;-0,183
"vivre";-0,532;-6,616;-0,334;10,56;-0,145
"seulement";-0,671;-8,344;1,05;8,989;-0,183
"penser";-0,671;0,133;36,566;-4,894;-0,183
"lutte";-0,532;0,105;-0,334;0,122;-0,145
"grand";0,29;0,133;-0,422;-0,067;-0,183
"famille";-0,601;0;-0,378;0,511;-0,164
"venir";-0,532;3,144;-0,334;-1,21;-0,145
"problème";-0,601;4,226;-0,378;-1,797;-0,164
"particulier";-0,601;1,881;-0,378;-0,43;-0,164
"international";-0,532;0,105;-0,334;0,122;-0,145
"emploi";-0,601;1,881;-0,378;-0,43;-0,164
"domaine";-0,601;0,472;-0,378;0,001;-0,164
"tâche";-0,464;-2,651;-0,291;5,106;-0,127
"passer";-0,532;-1,263;-0,334;3,239;-0,145
"nom";0,867;4,991;-0,291;-5,663;-0,127
"monde";-0,464;-5,763;-0,291;9,199;-0,127
"jeune";-0,532;-6,616;-0,334;10,56;-0,145
"fois";0,611;-6,616;-0,334;6,374;-0,145
"fin";-0,532;0,105;25,117;-3,33;-0,145
"exigence";-0,328;6,4;-0,206;-4,009;-0,09
"dignité";-0,532;1,1;-0,334;-0,141;-0,145
"corps";-0,464;-5,763;11,802;2,21;-0,127
"cause";-0,532;0,105;-0,334;0,122;-0,145
"autonomie";-0,396;7,714;-0,249;-4,833;-0,108
"victime";112,391;-5,763;-0,291;-5,663;-0,127
"serment";-0,328;-1,232;-0,206;2,693;-0,09
"sentir";-0,464;-5,763;-0,291;9,199;-0,127
"rôle";-0,396;1,237;-0,249;-0,283;-0,108
"projet";1,758;2,624;-0,206;-4,009;-0,09
"place";1,228;0,078;-0,249;-0,283;-0,108
"nombre";-0,396;3,783;-0,249;-1,863;-0,108
"mener";-0,396;3,783;-0,249;-1,863;-0,108
"lieu";-0,261;-3,25;4,869;1,591;-0,071
"entendre";-0,464;9,04;-0,291;-5,663;-0,127
"dernier";-0,464;9,04;-0,291;-5,663;-0,127
"comprendre";-0,396;0,078;-0,249;0,091;-0,108
"appeler";0,867;-2,651;-0,291;0,509;6,722
"trouver";-0,328;0,504;-0,206;-0,033;-0,09
"situation";-0,328;-0,04;-0,206;0,533;-0,09
"sexe";-0,396;0,078;-0,249;0,091;-0,108
"réforme";-0,396;3,783;-0,249;-1,863;-0,108
"question";-0,396;-1,919;-0,249;3,875;-0,108
"principe";-0,396;7,714;-0,249;-4,833;-0,108
"plan";-0,396;-1,919;-0,249;3,875;-0,108
"notamment";-0,396;0,078;2,701;-0,283;-0,108
"montrer";-0,328;-1,232;-0,206;0,533;10,073
"ivg";-0,328;-4,08;-0,206;6,513;-0,09
"important";-0,396;1,237;-0,249;-0,283;-0,108
"formation";-0,396;1,237;-0,249;-0,283;-0,108
"exemple";-0,396;3,783;-0,249;-1,863;-0,108
"développement";-0,396;-4,918;-0,249;7,85;-0,108
"définir";-0,396;3,783;-0,249;-1,863;-0,108
"considérer";-0,396;-1,919;-0,249;3,875;-0,108
"condition";-0,396;-1,919;-0,249;3,875;-0,108
"chômage";-0,396;-0,305;-0,249;1,288;-0,108
"choisir";-0,261;-0,62;-0,164;1,591;-0,071
"utiliser";1,758;-4,08;3,561;0,533;-0,09
"tenir";-0,328;2,624;-0,206;-1,191;-0,09
"statut";-0,328;6,4;-0,206;-4,009;-0,09
"salaire";-0,328;2,624;-0,206;-1,191;-0,09
"république";-0,328;-4,08;-0,206;6,513;-0,09
"réduire";-0,328;-4,08;3,561;2,693;-0,09
"réalité";1,758;-1,232;-0,206;0,533;-0,09
"réaliser";-0,328;2,624;-0,206;-1,191;-0,09
"responsabilité";-0,328;6,4;-0,206;-4,009;-0,09
"respecter";-0,328;2,624;-0,206;-1,191;-0,09
"reconnaître";-0,328;6,4;-0,206;-4,009;-0,09
"prostitution";-0,328;-1,232;79,408;-4,009;-0,09
