"";"newcol";"newcol";"newcol";"newcol"
"1";2;4;6;6
"2";2;4;7;8
"3";2;4;7;8
"4";2;4;7;9
"5";2;5;5;5
"6";2;5;5;5
"7";2;4;7;8
"8";2;4;7;8
"9";2;4;7;8
"10";2;5;5;5
"11";2;5;5;5
"12";2;5;5;5
"13";2;5;5;5
"14";2;5;5;5
"15";2;4;7;9
"16";2;5;5;5
"17";2;5;5;5
"18";2;5;5;5
"19";2;4;7;8
"20";2;5;5;5
"21";2;5;5;5
"22";2;5;5;5
"23";2;5;5;5
"24";2;4;7;8
"25";2;5;5;5
"26";2;4;7;8
"27";2;4;7;8
"28";2;5;5;5
"29";2;5;5;5
"30";2;4;7;8
"31";2;4;7;8
"32";2;4;7;8
"33";2;4;7;8
"34";2;4;7;8
"35";2;4;7;8
"36";2;4;7;8
"37";2;4;7;8
"38";2;4;7;8
"39";2;4;7;8
"40";2;4;7;8
"41";2;5;5;5
"42";2;5;5;5
"43";2;4;7;8
"44";2;4;7;8
"45";2;4;7;8
"46";2;5;5;5
"47";2;4;7;8
"48";2;4;7;8
"49";2;4;7;8
"50";2;5;5;5
"51";2;5;5;5
"52";2;4;6;6
"53";2;4;7;8
"54";2;5;5;5
"55";2;5;5;5
"56";2;5;5;5
"57";2;4;7;8
"58";2;4;7;8
"59";2;4;7;8
"60";2;4;7;8
"61";2;4;7;8
"62";2;5;5;5
"63";2;5;5;5
"64";2;5;5;5
"65";2;5;5;5
"66";2;5;5;5
"67";2;5;5;5
"68";2;5;5;5
"69";2;5;5;5
"70";2;4;7;8
"71";2;4;7;8
"72";2;5;5;5
"73";2;5;5;5
"74";2;4;7;8
"75";2;4;7;8
"76";2;5;5;5
"77";2;5;5;5
"78";2;5;5;5
"79";2;5;5;5
"80";2;4;7;8
"81";2;4;7;8
"82";2;5;5;5
"83";2;5;5;5
"84";2;4;7;8
"85";2;5;5;5
"86";2;5;5;5
"87";2;4;7;8
"88";2;5;5;5
"89";2;4;7;8
"90";2;5;5;5
"91";2;5;5;5
"92";2;5;5;5
"93";2;5;5;5
"94";2;5;5;5
"95";2;5;5;5
"96";2;5;5;5
"97";2;4;7;8
"98";2;5;5;5
"99";2;5;5;5
"100";2;5;5;5
"101";2;4;7;9
"102";2;4;7;8
"103";2;5;5;5
"104";2;5;5;5
"105";2;5;5;5
"106";2;5;5;5
"107";2;5;5;5
"108";2;5;5;5
"109";2;5;5;5
"110";2;5;5;5
"111";2;5;5;5
"112";2;5;5;5
"113";3;3;3;3
"114";2;5;5;5
"115";2;4;7;8
"116";2;5;5;5
"117";2;5;5;5
"118";2;5;5;5
"119";2;5;5;5
"120";2;5;5;5
"121";2;5;5;5
"122";2;5;5;5
"123";2;5;5;5
"124";2;4;7;8
"125";2;5;5;5
"126";2;5;5;5
"127";2;5;5;5
"128";2;5;5;5
"129";2;5;5;5
"130";2;5;5;5
"131";2;4;7;8
"132";2;5;5;5
"133";2;5;5;5
"134";0;0;0;0
"135";2;4;7;8
"136";2;4;7;8
"137";2;4;7;9
"138";2;5;5;5
"139";2;4;7;8
"140";3;3;3;3
"141";3;3;3;3
"142";2;4;7;8
"143";2;5;5;5
"144";2;5;5;5
"145";3;3;3;3
"146";3;3;3;3
"147";2;5;5;5
"148";2;4;7;8
"149";2;4;7;8
"150";2;5;5;5
"151";3;3;3;3
"152";2;4;7;8
"153";2;4;7;8
"154";2;5;5;5
"155";2;4;7;8
"156";2;4;7;8
"157";2;4;7;8
"158";2;4;7;8
"159";2;4;7;8
"160";2;4;7;8
"161";2;4;7;8
"162";2;4;7;8
"163";2;5;5;5
"164";2;5;5;5
"165";2;5;5;5
"166";2;5;5;5
"167";2;5;5;5
"168";2;4;7;8
"169";2;5;5;5
"170";2;4;7;8
"171";2;4;7;8
"172";2;4;6;6
"173";2;4;7;8
"174";2;4;7;8
"175";2;5;5;5
"176";2;4;7;8
"177";2;4;7;8
"178";2;4;7;8
"179";2;4;7;8
"180";2;4;7;8
"181";2;4;7;8
"182";2;5;5;5
"183";3;3;3;3
"184";2;4;7;8
"185";2;5;5;5
"186";2;4;6;6
"187";2;4;6;6
"188";2;4;6;6
"189";2;4;6;6
"190";2;4;7;8
"191";2;4;7;8
"192";2;4;7;8
"193";2;5;5;5
"194";2;5;5;5
"195";2;5;5;5
"196";2;4;7;8
"197";2;4;7;8
"198";2;4;7;8
"199";2;4;7;8
"200";2;4;7;8
"201";2;4;7;8
"202";2;4;7;8
"203";2;4;7;8
"204";3;3;3;3
"205";3;3;3;3
"206";3;3;3;3
"207";3;3;3;3
"208";2;4;7;8
"209";2;4;7;8
"210";2;5;5;5
"211";3;3;3;3
"212";2;4;7;8
"213";2;4;7;8
"214";2;4;7;8
"215";2;4;7;8
"216";2;4;6;6
"217";2;5;5;5
"218";2;4;7;8
"219";2;4;7;8
"220";2;4;7;8
"221";2;4;7;8
"222";3;3;3;3
"223";2;4;7;8
"224";2;4;6;6
"225";2;5;5;5
"226";3;3;3;3
"227";2;4;7;8
"228";2;4;7;8
"229";2;5;5;5
"230";2;4;7;8
"231";2;4;7;8
"232";2;4;7;8
"233";2;4;7;8
