"";"V1"
"1";3
"2";4
"3";4
"4";5
"5";2
"6";2
"7";4
"8";4
"9";4
"10";2
"11";2
"12";2
"13";2
"14";2
"15";5
"16";2
"17";2
"18";2
"19";4
"20";2
"21";2
"22";2
"23";2
"24";4
"25";2
"26";4
"27";4
"28";2
"29";2
"30";4
"31";4
"32";4
"33";4
"34";4
"35";4
"36";4
"37";4
"38";4
"39";4
"40";4
"41";2
"42";2
"43";4
"44";4
"45";4
"46";2
"47";4
"48";4
"49";4
"50";2
"51";2
"52";3
"53";4
"54";2
"55";2
"56";2
"57";4
"58";4
"59";4
"60";4
"61";4
"62";2
"63";2
"64";2
"65";2
"66";2
"67";2
"68";2
"69";2
"70";4
"71";4
"72";2
"73";2
"74";4
"75";4
"76";2
"77";2
"78";2
"79";2
"80";4
"81";4
"82";2
"83";2
"84";4
"85";2
"86";2
"87";4
"88";2
"89";4
"90";2
"91";2
"92";2
"93";2
"94";2
"95";2
"96";2
"97";4
"98";2
"99";2
"100";2
"101";5
"102";4
"103";2
"104";2
"105";2
"106";2
"107";2
"108";2
"109";2
"110";2
"111";2
"112";2
"113";1
"114";2
"115";4
"116";2
"117";2
"118";2
"119";2
"120";2
"121";2
"122";2
"123";2
"124";4
"125";2
"126";2
"127";2
"128";2
"129";2
"130";2
"131";4
"132";2
"133";2
"134";0
"135";4
"136";4
"137";5
"138";2
"139";4
"140";1
"141";1
"142";4
"143";2
"144";2
"145";1
"146";1
"147";2
"148";4
"149";4
"150";2
"151";1
"152";4
"153";4
"154";2
"155";4
"156";4
"157";4
"158";4
"159";4
"160";4
"161";4
"162";4
"163";2
"164";2
"165";2
"166";2
"167";2
"168";4
"169";2
"170";4
"171";4
"172";3
"173";4
"174";4
"175";2
"176";4
"177";4
"178";4
"179";4
"180";4
"181";4
"182";2
"183";1
"184";4
"185";2
"186";3
"187";3
"188";3
"189";3
"190";4
"191";4
"192";4
"193";2
"194";2
"195";2
"196";4
"197";4
"198";4
"199";4
"200";4
"201";4
"202";4
"203";4
"204";1
"205";1
"206";1
"207";1
"208";4
"209";4
"210";2
"211";1
"212";4
"213";4
"214";4
"215";4
"216";3
"217";2
"218";4
"219";4
"220";4
"221";4
"222";1
"223";4
"224";3
"225";2
"226";1
"227";4
"228";4
"229";2
"230";4
"231";4
"232";4
"233";4
