"";"X";"V1"
"1";1;0
"2";2;2
"3";3;2
"4";4;0
"5";5;3
"6";6;3
"7";7;2
"8";8;2
"9";9;1
"10";10;3
"11";11;0
"12";12;0
"13";13;0
"14";14;3
"15";15;0
"16";16;3
"17";17;3
"18";18;0
"19";19;2
"20";20;3
"21";21;0
"22";22;3
"23";23;3
"24";24;2
"25";25;3
"26";26;1
"27";27;2
"28";28;3
"29";29;3
"30";30;1
"31";31;1
"32";32;1
"33";33;1
"34";34;1
"35";35;1
"36";36;1
"37";37;2
"38";38;2
"39";39;1
"40";40;2
"41";41;3
"42";42;3
"43";43;1
"44";44;1
"45";45;2
"46";46;0
"47";47;2
"48";48;1
"49";49;2
"50";50;3
"51";51;0
"52";52;0
"53";53;2
"54";54;3
"55";55;0
"56";56;3
"57";57;2
"58";58;1
"59";59;2
"60";60;2
"61";61;2
"62";62;0
"63";63;3
"64";64;3
"65";65;3
"66";66;3
"67";67;3
"68";68;3
"69";69;0
"70";70;2
"71";71;2
"72";72;0
"73";73;0
"74";74;2
"75";75;2
"76";76;3
"77";77;3
"78";78;0
"79";79;3
"80";80;0
"81";81;2
"82";82;3
"83";83;0
"84";84;2
"85";85;3
"86";86;3
"87";87;1
"88";88;0
"89";89;1
"90";90;3
"91";91;0
"92";92;0
"93";93;0
"94";94;0
"95";95;3
"96";96;3
"97";97;2
"98";98;0
"99";99;0
"100";100;3
"101";101;0
"102";102;1
"103";103;3
"104";104;0
"105";105;3
"106";106;3
"107";107;3
"108";108;3
"109";109;0
"110";110;3
"111";111;0
"112";112;3
"113";113;0
"114";114;3
"115";115;1
"116";116;3
"117";117;0
"118";118;3
"119";119;0
"120";120;0
"121";121;0
"122";122;3
"123";123;0
"124";124;2
"125";125;0
"126";126;0
"127";127;3
"128";128;3
"129";129;0
"130";130;0
"131";131;2
"132";132;0
"133";133;0
"134";134;0
"135";135;2
"136";136;2
"137";137;0
"138";138;0
"139";139;2
"140";140;0
"141";141;0
"142";142;2
"143";143;0
"144";144;0
"145";145;0
"146";146;0
"147";147;0
"148";148;2
"149";149;2
"150";150;0
"151";151;0
"152";152;2
"153";153;1
"154";154;0
"155";155;1
"156";156;2
"157";157;2
"158";158;0
"159";159;1
"160";160;2
"161";161;2
"162";162;2
"163";163;0
"164";164;3
"165";165;3
"166";166;3
"167";167;0
"168";168;1
"169";169;0
"170";170;1
"171";171;1
"172";172;0
"173";173;2
"174";174;2
"175";175;0
"176";176;2
"177";177;2
"178";178;1
"179";179;1
"180";180;2
"181";181;0
"182";182;3
"183";183;0
"184";184;2
"185";185;0
"186";186;0
"187";187;0
"188";188;0
"189";189;0
"190";190;2
"191";191;2
"192";192;2
"193";193;0
"194";194;3
"195";195;3
"196";196;2
"197";197;2
"198";198;2
"199";199;2
"200";200;1
"201";201;1
"202";202;1
"203";203;2
"204";204;0
"205";205;0
"206";206;0
"207";207;0
"208";208;1
"209";209;1
"210";210;3
"211";211;0
"212";212;2
"213";213;1
"214";214;2
"215";215;2
"216";216;0
"217";217;0
"218";218;2
"219";219;2
"220";220;2
"221";221;0
"222";222;0
"223";223;1
"224";224;0
"225";225;3
"226";226;0
"227";227;2
"228";228;2
"229";229;0
"230";230;2
"231";231;2
"232";232;2
"233";233;2
