"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"femme";-0,149960552433056;0,21832163036826;-0,566181207804602;0,824280801625831;0,346310290349781;0,653689709650214;0,00197264625316029;0,00418108195496976;0,087719298245614;0,161991100839735;0,00230185234660255
"droit";0,00428407230237189;0,553169507596299;0,00774436004291276;0,999970011994123;6,73443378336584e-05;0,999932655662167;7,38676722586221e-07;0,0123156487732084;0,0402476780185759;0,331858596129494;0,00443248192484676
"égalité";-1,82397675947597;-0,192068940271204;-0,994501399949158;-0,104723280597798;0,990221442598116;0,00977855740188151;0,0343332427152574;0,000380706685416957;0,0103199174406605;1,1651986170859;0,0140112261843022
"agir";-0,372575123272071;0,174080869227257;-0,905985042748568;0,423309700238343;0,837226364054122;0,162773635945876;0,00214879601364086;0,000469104474162808;0,0154798761609907;0,258844671600156;0,001037160433681
"prendre";-0,696384475412096;-1,3727203963339;-0,452415938443421;-0,891807052361865;0,22419253955142;0,775807460448579;0,00650605509673348;0,0252803887767226;0,0134158926728586;0,934943412305203;0,011727089158687
"loi";-1,32493019415081;-0,125270920238088;-0,995559983157821;-0,0941292724650517;0,992101629769772;0,00789837023022549;0,0144927968575645;0,000129558748873456;0,00825593395252838;0,845593701207951;0,00590322978346799
"permettre";0,733642513089204;0,273041556138145;0,93719750893805;0,348799124483295;0,890190872342211;0,109809127657786;0,00833175444290779;0,0011540509501291;0,0154798761609907;0,494299014715904;0,0037822216091194
"professionnel";-1,70336596413916;-0,00404718419438549;-0,999997177342554;-0,00237598546394358;0,999994972470696;5,02752930121681e-06;0,0449141734951662;2,53555726057024e-07;0,0154798761609907;1,08281903131788;0,0181501092040897
"premier";-1,17340739624379;0,473782942044506;-0,9272673860506;0,374399779336057;0,873219768460743;0,126780231539254;0,00994653707215419;0,00162156030258662;0,00722394220846233;0,798240695916201;0,00460301079496126
"vie";-1,7893226230863;-0,228353736793225;-0,991954683198105;-0,126593469347144;0,985702776603908;0,0142972233960886;0,029736923679459;0,000484322870966837;0,00928792569659443;1,14567776978148;0,0121911227755863
"homme";-0,805073146115904;0,312622281848631;-0,932185151250366;0,361981827980815;0,881610613633312;0,118389386366686;0,0100331698234824;0,00151288995523599;0,0154798761609907;0,5450593061097;0,0045989109470091
"politique";0,314025516716797;0,998138226726124;0,300109199605471;0,953904852861208;0,100025746785984;0,899974253214015;0,00111943475401627;0,0113096791704558;0,0113519091847265;0,63118382514153;0,00452252139558641
"pays";0,620261704679272;1,10609372651352;0,489113074306108;0,872220385305702;0,260957023070182;0,739042976929817;0,0043673585193065;0,0138884175956224;0,0113519091847265;0,771857799604252;0,00676306407730556
"ministre";-0,114705146430666;0,847000527023776;-0,134200096943475;0,990954254231931;0,0201780333029048;0,979821966697095;6,78909732594451e-05;0,00370180543229388;0,00515995872033024;0,513322510708424;0,00135964912280702
"mettre";1,20498677032456;0,82721115001683;0,824430528591878;0,565963164460123;0,704376073762716;0,295623926237282;0,0134860041794788;0,00635552588277554;0,00928792569659443;0,912697381198968;0,007736995445642
