"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"33";"152";"21.71";"****";""
"12";"85";"14.12";"-6.541";"femme";"0.01054314"
" 3";"39";" 7.69";"-6.065";"droit";"0.01378749"
" 0";"11";" 0.00";"-3.288";"politique";"0.06977114"
" 0";"11";" 0.00";"-3.288";"pays";"0.06977114"
" 0";"11";" 0.00";"-3.288";"rester";"0.06977114"
" 0";"10";" 0.00";"-2.968";"aller";"0.08490586"
" 0";" 9";" 0.00";"-2.653";"combat";"0.10336270"
" 0";" 9";" 0.00";"-2.653";"seulement";"0.10336270"
" 1";"15";" 6.67";"-2.216";"professionnel";"0.13659134"
" 1";"15";" 6.67";"-2.216";"homme";"0.13659134"
" 0";" 7";" 0.00";"-2.035";"premier";"0.15372546"
" 0";" 7";" 0.00";"-2.035";"action";"0.15372546"
" 0";" 7";" 0.00";"-2.035";"cas";"0.15372546"
" 0";" 7";" 0.00";"-2.035";"domaine";"0.15372546"
"*****";"*";"*";"*";"*";"*"
" 2";" 26";" 7.69";"-3.626";"mais";"0.05687467"
" 0";" 11";" 0.00";"-3.288";"non";"0.06977114"
"24";"125";"19.20";"-2.609";"de";"0.10622993"
" 1";" 15";" 6.67";"-2.216";"vous";"0.13659134"
" 8";" 53";"15.09";"-2.096";"dans";"0.14771548"
" 0";"  7";" 0.00";"-2.035";"sans";"0.15372546"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"65";"152";"42.76";"****";""
"0";"13";" 0.00";"-10.621";"prendre";"0.001118093"
"1";"15";" 6.67";" -8.859";"professionnel";"0.002916013"
"0";"10";" 0.00";" -7.997";"égalité";"0.004684431"
"0";" 9";" 0.00";" -7.147";"vie";"0.007507545"
"0";" 9";" 0.00";" -7.147";"temps";"0.007507545"
"1";"13";" 7.69";" -7.144";"travail";"0.007523049"
"0";" 8";" 0.00";" -6.309";"problème";"0.012012199"
"0";" 8";" 0.00";" -6.309";"jeune";"0.012012199"
"1";"11";" 9.09";" -5.493";"fille";"0.019091875"
"0";" 6";" 0.00";" -4.667";"voir";"0.030747922"
"0";" 6";" 0.00";" -4.667";"nom";"0.030747922"
"0";" 6";" 0.00";" -4.667";"chômage";"0.030747922"
"0";" 5";" 0.00";" -3.863";"nombre";"0.049370980"
"0";" 5";" 0.00";" -3.863";"donner";"0.049370980"
"1";" 8";"12.50";" -3.160";"loi";"0.075474265"
"0";" 4";" 0.00";" -3.069";"dernier";"0.079784989"
"0";" 4";" 0.00";" -3.069";"appeler";"0.079784989"
"0";" 4";" 0.00";" -3.069";"réduire";"0.079784989"
"0";" 4";" 0.00";" -3.069";"responsabilité";"0.079784989"
"0";" 4";" 0.00";" -3.069";"imposer";"0.079784989"
"0";" 4";" 0.00";" -3.069";"cours";"0.079784989"
"0";" 4";" 0.00";" -3.069";"commencer";"0.079784989"
"0";" 4";" 0.00";" -3.069";"activité";"0.079784989"
"0";" 4";" 0.00";" -3.069";"seul";"0.079784989"
"0";" 4";" 0.00";" -3.069";"garder";"0.079784989"
"0";" 4";" 0.00";" -3.069";"appliquer";"0.079784989"
"0";" 3";" 0.00";" -2.287";"année";"0.130503266"
"0";" 3";" 0.00";" -2.287";"principe";"0.130503266"
"0";" 3";" 0.00";" -2.287";"long";"0.130503266"
"0";" 3";" 0.00";" -2.287";"discrimination";"0.130503266"
"0";" 3";" 0.00";" -2.287";"école";"0.130503266"
"0";" 3";" 0.00";" -2.287";"partager";"0.130503266"
"0";" 3";" 0.00";" -2.287";"inégalité";"0.130503266"
"0";" 3";" 0.00";" -2.287";"réserver";"0.130503266"
"0";" 3";" 0.00";" -2.287";"réel";"0.130503266"
"0";" 3";" 0.00";" -2.287";"réduction";"0.130503266"
"0";" 3";" 0.00";" -2.287";"partiel";"0.130503266"
"0";" 3";" 0.00";" -2.287";"exister";"0.130503266"
"0";" 3";" 0.00";" -2.287";"charger";"0.130503266"
"*****";"*";"*";"*";"*";"*"
" 7";"29";"24.14";"-5.079";"au";"0.02421472"
" 1";" 8";"12.50";"-3.160";"même";"0.07547426"
" 0";" 4";" 0.00";"-3.069";"laquelle";"0.07978499"
" 3";"14";"21.43";"-2.868";"aux";"0.09038067"
"28";"77";"36.36";"-2.611";"à";"0.10611848"
"14";"43";"32.56";"-2.551";"ne";"0.11020102"
" 1";" 7";"14.29";"-2.431";"leurs";"0.11893778"
" 4";"16";"25.00";"-2.305";"par";"0.12893685"
" 0";" 3";" 0.00";"-2.287";"autre";"0.13050327"
" 0";" 3";" 0.00";"-2.287";"trop";"0.13050327"
" 0";" 3";" 0.00";"-2.287";"ses";"0.13050327"
" 0";" 3";" 0.00";"-2.287";"personne";"0.13050327"
" 0";" 3";" 0.00";"-2.287";"bon";"0.13050327"
" 7";"24";"29.17";"-2.153";"ou";"0.14233338"
"*";"*";"*";"*";"*";"*"
"30";"94";"31.91";"-11.845";"*loc_mitterand";"0.0005783038"
"30";"94";"31.91";"-11.845";"*date_1982";"0.0005783038"
"**";"classe";"3";"**";"";""
"****";"54";"152";"35.53";"****";""
"0";"11";" 0.00";"-6.534";"liberté";"0.01058266"
"0";"11";" 0.00";"-6.534";"fille";"0.01058266"
"0";"11";" 0.00";"-6.534";"également";"0.01058266"
"0";"10";" 0.00";"-5.898";"simplement";"0.01515597"
"0";" 9";" 0.00";"-5.271";"mettre";"0.02167981"
"0";" 9";" 0.00";"-5.271";"seulement";"0.02167981"
"1";"13";" 7.69";"-4.808";"ensemble";"0.02832308"
"0";" 8";" 0.00";"-4.653";"vivre";"0.03099822"
"0";" 8";" 0.00";"-4.653";"jeune";"0.03099822"
"0";" 7";" 0.00";"-4.043";"monde";"0.04434572"
"0";" 7";" 0.00";"-4.043";"fois";"0.04434572"
"0";" 7";" 0.00";"-4.043";"sentir";"0.04434572"
"2";"15";"13.33";"-3.579";"permettre";"0.05852852"
"0";" 6";" 0.00";"-3.442";"développement";"0.06355908"
"1";"10";"10.00";"-3.045";"aller";"0.08098207"
"1";"10";"10.00";"-3.045";"éducation";"0.08098207"
"0";" 5";" 0.00";"-2.849";"corps";"0.09144143"
"0";" 5";" 0.00";"-2.849";"ivg";"0.09144143"
"0";" 5";" 0.00";"-2.849";"chose";"0.09144143"
"1";" 9";"11.11";"-2.490";"combat";"0.11459727"
"0";" 4";" 0.00";"-2.264";"grand";"0.13244146"
"0";" 4";" 0.00";"-2.264";"cause";"0.13244146"
"0";" 4";" 0.00";"-2.264";"serment";"0.13244146"
"0";" 4";" 0.00";"-2.264";"appeler";"0.13244146"
"0";" 4";" 0.00";"-2.264";"plan";"0.13244146"
"0";" 4";" 0.00";"-2.264";"république";"0.13244146"
"0";" 4";" 0.00";"-2.264";"réduire";"0.13244146"
"0";" 4";" 0.00";"-2.264";"possible";"0.13244146"
"0";" 4";" 0.00";"-2.264";"oeuvre";"0.13244146"
"0";" 4";" 0.00";"-2.264";"mouvement";"0.13244146"
"0";" 4";" 0.00";"-2.264";"disposer";"0.13244146"
"0";" 4";" 0.00";"-2.264";"seul";"0.13244146"
"0";" 4";" 0.00";"-2.264";"service";"0.13244146"
"0";" 4";" 0.00";"-2.264";"protection";"0.13244146"
"0";" 4";" 0.00";"-2.264";"information";"0.13244146"
"0";" 4";" 0.00";"-2.264";"garder";"0.13244146"
"0";" 4";" 0.00";"-2.264";"collectif";"0.13244146"
"0";" 4";" 0.00";"-2.264";"chemin";"0.13244146"
"0";" 4";" 0.00";"-2.264";"accès";"0.13244146"
"2";"12";"16.67";"-2.023";"enfant";"0.15491593"
"*****";"*";"*";"*";"*";"*"
" 1";"15";" 6.67";"-6.052";"vous";"0.01389441"
"12";"51";"23.53";"-4.823";"d";"0.02808589"
"11";"47";"23.40";"-4.365";"nous";"0.03668705"
" 0";" 7";" 0.00";"-4.043";"car";"0.04434572"
" 0";" 7";" 0.00";"-4.043";"ainsi";"0.04434572"
" 0";" 6";" 0.00";"-3.442";"votre";"0.06355908"
" 0";" 6";" 0.00";"-3.442";"beaucoup";"0.06355908"
" 0";" 5";" 0.00";"-2.849";"surtout";"0.09144143"
"11";"43";"25.58";"-2.589";"ce";"0.10759875"
" 3";"16";"18.75";"-2.197";"vouloir";"0.13825460"
" 2";"12";"16.67";"-2.023";"là";"0.15491593"
"*";"*";"*";"*";"*";"*"
"8";"47";"17.02";"-10.172";"*loc_hollande";"0.001426019"
"8";"47";"17.02";"-10.172";"*date_2017";"0.001426019"
"0";"11";" 0.00";" -6.534";"*loc_chirac";"0.010582659"
"0";"11";" 0.00";" -6.534";"*date_2006";"0.010582659"
