femme;12;39;34
droit;3;22;14
égalité;1;0;9
agir;2;6;7
prendre;6;0;7
loi;1;1;6
permettre;3;10;2
professionnel;1;1;13
premier;0;2;5
vie;1;0;8
homme;1;5;9
politique;0;8;3
pays;0;9;2
ministre;0;3;2
mettre;1;8;0
ensemble;1;11;1
enfant;6;4;2
combat;0;8;1
société;1;4;5
social;2;5;5
liberté;4;7;0
travail;2;1;10
temps;5;0;4
gouvernement;1;4;5
france;0;4;2
action;0;6;1
rester;0;4;7
fille;10;1;0
cas;0;2;5
aller;0;9;1
également;6;5;0
voir;1;0;5
simplement;3;7;0
familial;2;2;3
année;0;0;3
état;1;6;1
éducation;6;3;1
vivre;5;3;0
seulement;0;9;0
lutte;1;3;2
grand;0;4;0
famille;2;3;1
venir;0;2;2
problème;2;0;6
particulier;1;2;3
international;0;4;2
emploi;1;2;5
domaine;0;4;3
tâche;4;1;1
passer;3;3;1
nom;0;0;6
monde;1;6;0
jeune;8;0;0
fois;3;4;0
dignité;0;3;0
corps;0;5;0
cause;0;4;0
serment;0;4;0
sentir;1;6;0
rôle;0;2;3
place;1;1;1
nombre;1;0;4
dernier;0;0;4
comprendre;1;2;3
appeler;4;0;0
trouver;0;2;1
situation;0;3;1
sexe;1;2;2
réforme;0;1;2
question;0;5;1
principe;0;0;3
plan;2;2;0
notamment;1;1;1
montrer;1;2;1
ivg;2;3;0
important;0;2;1
formation;1;1;4
exemple;0;1;5
développement;1;5;0
définir;0;1;2
considérer;1;4;1
condition;1;4;1
chômage;4;0;2
choisir;2;1;0
utiliser;1;2;0
salaire;0;1;4
république;1;3;0
réduire;4;0;0
réalité;1;2;0
responsabilité;0;0;4
respecter;0;1;3
progrès;0;2;1
possible;0;4;0
personnel;0;3;0
partir;1;2;1
parler;0;1;3
ouvrir;0;3;0
oeuvre;0;4;0
nouvelle;1;2;0
moyen;0;1;4
mouvement;1;3;0
moment;0;2;2
long;2;0;1
imposer;0;0;4
donner;0;0;5
disposer;0;4;0
discrimination;0;0;3
cours;0;0;4
convenir;2;1;1
constituer;0;1;4
conjoint;1;2;0
commencer;1;0;3
chose;1;4;0
choix;1;3;1
atteindre;0;1;2
activité;0;0;4
école;2;0;1
veiller;1;1;1
seul;4;0;0
service;0;4;0
remercier;0;3;0
protection;0;4;0
programme;1;2;0
partager;2;0;1
paraître;1;2;0
oublier;0;1;2
mère;1;2;0
mesure;1;1;1
inégalité;1;0;2
information;0;4;0
garder;4;0;0
féminin;0;3;1
doute;0;1;2
collectif;2;2;0
chemin;2;2;0
appliquer;1;0;3
accès;0;4;0
étroit;0;2;1
élever;2;1;0
réserver;1;0;2
régime;0;3;0
réel;2;0;1
réduction;0;0;3
renforcer;1;1;1
porter;0;3;0
partiel;3;0;0
nombreux;0;2;1
lever;0;1;2
garçon;2;1;0
exister;2;0;1
contraception;1;2;0
citer;1;2;0
charger;2;0;1
changement;0;2;1
