"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;7;7;7;7;7;7;7
"2";2;5;6;8;8;13;13;17;17
"3";2;5;6;8;8;13;13;17;17
"4";2;5;6;9;9;9;9;9;9
"5";2;4;4;4;11;11;15;15;19
"6";2;4;4;4;11;11;15;15;19
"7";2;5;6;8;8;13;13;17;17
"8";2;5;6;8;8;13;13;17;17
"9";2;5;6;8;8;12;12;12;12
"10";2;4;4;4;11;11;15;15;19
"11";2;4;4;4;11;11;14;14;14
"12";2;4;4;4;11;11;14;14;14
"13";2;4;4;4;11;11;15;15;18
"14";2;4;4;4;11;11;15;15;19
"15";2;5;6;9;9;9;9;9;9
"16";2;4;4;4;11;11;15;15;19
"17";2;4;4;4;11;11;15;15;19
"18";2;4;4;4;11;11;14;14;14
"19";2;5;6;8;8;13;13;17;17
"20";2;4;4;4;11;11;15;15;19
"21";2;4;4;4;11;11;15;15;18
"22";2;4;4;4;11;11;15;15;19
"23";2;4;4;4;11;11;15;15;19
"24";2;5;6;8;8;13;13;17;17
"25";2;4;4;4;11;11;15;15;19
"26";2;5;6;8;8;12;12;12;12
"27";2;5;6;8;8;13;13;17;17
"28";2;4;4;4;11;11;15;15;19
"29";2;4;4;4;11;11;15;15;19
"30";2;5;6;8;8;12;12;12;12
"31";2;5;6;8;8;12;12;12;12
"32";2;5;6;8;8;12;12;12;12
"33";2;5;6;8;8;12;12;12;12
"34";2;5;6;8;8;12;12;12;12
"35";2;5;6;8;8;12;12;12;12
"36";2;5;6;8;8;12;12;12;12
"37";2;5;6;8;8;13;13;17;17
"38";2;5;6;8;8;13;13;17;17
"39";2;5;6;8;8;12;12;12;12
"40";2;5;6;8;8;13;13;17;17
"41";2;4;4;4;11;11;15;15;19
"42";2;4;4;4;11;11;15;15;19
"43";2;5;6;8;8;12;12;12;12
"44";2;5;6;8;8;12;12;12;12
"45";2;5;6;8;8;13;13;17;17
"46";2;4;4;4;10;10;10;10;10
"47";2;5;6;8;8;13;13;17;17
"48";2;5;6;8;8;12;12;12;12
"49";2;5;6;8;8;13;13;17;17
"50";2;4;4;4;11;11;15;15;19
"51";2;4;4;4;11;11;15;15;18
"52";2;5;7;7;7;7;7;7;7
"53";2;5;6;8;8;13;13;17;17
"54";2;4;4;4;11;11;15;15;19
"55";2;4;4;4;10;10;10;10;10
"56";2;4;4;4;11;11;15;15;19
"57";2;5;6;8;8;13;13;17;17
"58";2;5;6;8;8;12;12;12;12
"59";2;5;6;8;8;13;13;17;17
"60";2;5;6;8;8;13;13;17;17
"61";2;5;6;8;8;13;13;17;17
"62";2;4;4;4;10;10;10;10;10
"63";2;4;4;4;11;11;15;15;19
"64";2;4;4;4;11;11;15;15;19
"65";2;4;4;4;11;11;15;15;19
"66";2;4;4;4;11;11;15;15;19
"67";2;4;4;4;11;11;15;15;19
"68";2;4;4;4;11;11;15;15;19
"69";2;4;4;4;11;11;15;15;18
"70";2;5;6;8;8;13;13;17;17
"71";2;5;6;8;8;13;13;17;17
"72";2;4;4;4;10;10;10;10;10
"73";2;4;4;4;11;11;14;14;14
"74";2;5;6;8;8;13;13;17;17
"75";2;5;6;8;8;13;13;17;17
"76";2;4;4;4;11;11;15;15;19
"77";2;4;4;4;11;11;15;15;19
"78";2;4;4;4;10;10;10;10;10
"79";2;4;4;4;11;11;15;15;19
"80";2;5;6;8;8;13;13;16;16
"81";2;5;6;8;8;13;13;17;17
"82";2;4;4;4;11;11;15;15;19
"83";2;4;4;4;11;11;14;14;14
"84";2;5;6;8;8;13;13;17;17
"85";2;4;4;4;11;11;15;15;19
"86";2;4;4;4;11;11;15;15;19
"87";2;5;6;8;8;12;12;12;12
"88";2;4;4;4;11;11;15;15;18
"89";2;5;6;8;8;12;12;12;12
"90";2;4;4;4;11;11;15;15;19
"91";2;4;4;4;11;11;15;15;18
"92";2;4;4;4;11;11;15;15;18
"93";2;4;4;4;10;10;10;10;10
"94";2;4;4;4;11;11;15;15;18
"95";2;4;4;4;11;11;15;15;19
"96";2;4;4;4;11;11;15;15;19
"97";2;5;6;8;8;13;13;17;17
"98";2;4;4;4;10;10;10;10;10
"99";2;4;4;4;11;11;15;15;18
"100";2;4;4;4;11;11;15;15;19
"101";2;5;6;9;9;9;9;9;9
"102";2;5;6;8;8;12;12;12;12
