de;24;54;47
être;23;44;41
la;17;43;34
les;18;42;34
l;16;32;32
et;21;31;24
des;16;32;22
à;15;28;34
avoir;15;29;25
le;20;30;29
que;16;30;25
en;13;33;21
d;13;26;12
qui;15;21;15
dans;8;20;25
il;10;22;19
pour;13;22;16
nous;16;20;11
une;7;19;16
ne;9;14;20
un;7;19;11
ce;14;18;11
qu;8;18;10
c;10;12;13
je;3;11;9
faire;5;15;13
du;5;13;16
pas;7;10;13
plus;6;11;11
pouvoir;6;11;9
mais;2;17;7
au;5;7;17
cette;3;10;9
on;6;10;7
aussi;4;10;6
ou;6;7;11
leur;3;10;9
par;5;4;7
y;3;11;8
vous;1;13;1
devoir;2;12;6
s;7;6;5
ces;3;7;6
se;5;5;5
vouloir;7;6;3
sur;4;4;5
elles;1;4;8
elle;2;7;5
tout;4;10;4
aux;5;3;6
tous;1;5;5
toutes;1;6;5
j;3;6;5
bien;1;4;4
si;3;2;4
notre;2;4;6
dire;1;6;5
comme;1;3;6
savoir;2;6;5
où;2;6;2
même;2;1;5
là;5;5;2
aujourd_hui;3;6;2
non;0;7;4
falloir;1;2;3
avec;1;3;2
votre;1;5;0
leurs;2;1;4
contre;2;3;3
autres;2;4;3
ceux;2;3;1
souvent;2;2;4
sans;0;2;5
car;1;6;0
m;1;2;2
entre;3;2;2
dont;2;2;2
donc;2;5;2
alors;3;2;2
toujours;3;2;1
parce_que;2;3;1
ainsi;5;2;0
surtout;0;5;0
sa;1;3;1
pourquoi;1;2;2
ici;0;2;1
encore;4;2;1
chacun;3;1;1
celles;0;2;2
celle;2;1;1
cela;0;3;3
autre;1;0;2
son;0;1;4
rien;0;2;1
nos;0;2;1
mme;2;1;1
devant;1;1;3
depuis;1;1;2
celui;0;1;2
beaucoup;2;4;0
d_abord;0;3;0
trop;1;0;2
toute;1;1;1
force;2;1;1
cet;0;3;0
certain;0;1;2
avant;0;3;0
aucune;2;1;0
tant;0;2;1
ses;1;0;2
personne;0;0;3
laquelle;1;0;3
certains;1;1;1
c_est_à_dire;1;2;0
soi;0;2;1
quelques;1;1;1
partout;1;1;1
moi;0;2;1
eh;1;1;1
comment;0;1;2
chacune;1;2;0
bon;2;0;1
