"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"33";"152";"21.71";"****";""
"10";"11";" 90.91";"33.407";"fille";"7.475403e-09"
" 8";" 8";"100.00";"30.451";"jeune";"3.423753e-08"
" 4";" 4";"100.00";"14.814";"appeler";"1.186459e-04"
" 4";" 4";"100.00";"14.814";"réduire";"1.186459e-04"
" 4";" 4";"100.00";"14.814";"seul";"1.186459e-04"
" 4";" 4";"100.00";"14.814";"garder";"1.186459e-04"
" 3";" 3";"100.00";"11.036";"partiel";"8.935958e-04"
" 6";"10";" 60.00";" 9.233";"éducation";"2.376989e-03"
" 5";" 8";" 62.50";" 8.266";"vivre";"4.039518e-03"
" 6";"11";" 54.55";" 7.522";"également";"6.096038e-03"
" 4";" 6";" 66.67";" 7.428";"tâche";"6.423230e-03"
" 4";" 6";" 66.67";" 7.428";"chômage";"6.423230e-03"
" 5";" 9";" 55.56";" 6.447";"temps";"1.111320e-02"
" 6";"12";" 50.00";" 6.134";"enfant";"1.325758e-02"
" 6";"13";" 46.15";" 4.997";"prendre";"2.538970e-02"
" 2";" 3";" 66.67";" 3.639";"choisir";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"long";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"école";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"partager";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"élever";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"réel";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"garçon";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"exister";"5.644059e-02"
" 2";" 3";" 66.67";" 3.639";"charger";"5.644059e-02"
"*****";"*";"*";"*";"*";"*"
" 5";" 7";"71.43";"10.672";"ainsi";"0.001087952"
"16";"47";"34.04";" 6.088";"nous";"0.013613254"
" 4";" 7";"57.14";" 5.420";"encore";"0.019907352"
" 7";"16";"43.75";" 5.110";"vouloir";"0.023783081"
" 3";" 5";"60.00";" 4.459";"chacun";"0.034708666"
"14";"43";"32.56";" 4.151";"ce";"0.041603492"
" 2";" 3";"66.67";" 3.639";"aucune";"0.056440589"
" 2";" 3";"66.67";" 3.639";"bon";"0.056440589"
" 7";"18";"38.89";" 3.545";"s";"0.059729617"
"21";"76";"27.63";" 3.135";"et";"0.076618156"
" 5";"12";"41.67";" 3.053";"là";"0.080605815"
" 3";" 6";"50.00";" 2.941";"toujours";"0.086348940"
"15";"51";"29.41";" 2.678";"qui";"0.101731921"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"65";"152";"42.76";"****";""
" 9";" 9";"100.00";"12.804";"seulement";"0.000345823"
"11";"13";" 84.62";"10.173";"ensemble";"0.001424854"
" 9";"10";" 90.00";" 9.758";"aller";"0.001785207"
" 8";" 9";" 88.89";" 8.316";"mettre";"0.003930703"
" 8";" 9";" 88.89";" 8.316";"combat";"0.003930703"
" 9";"11";" 81.82";" 7.390";"pays";"0.006559921"
" 5";" 5";"100.00";" 6.920";"corps";"0.008523997"
" 6";" 7";" 85.71";" 5.531";"action";"0.018686004"
" 6";" 7";" 85.71";" 5.531";"monde";"0.018686004"
" 6";" 7";" 85.71";" 5.531";"sentir";"0.018686004"
" 4";" 4";"100.00";" 5.499";"grand";"0.019032307"
" 4";" 4";"100.00";" 5.499";"cause";"0.019032307"
" 4";" 4";"100.00";" 5.499";"serment";"0.019032307"
" 4";" 4";"100.00";" 5.499";"possible";"0.019032307"
" 4";" 4";"100.00";" 5.499";"oeuvre";"0.019032307"
" 4";" 4";"100.00";" 5.499";"disposer";"0.019032307"
" 4";" 4";"100.00";" 5.499";"service";"0.019032307"
" 4";" 4";"100.00";" 5.499";"protection";"0.019032307"
" 4";" 4";"100.00";" 5.499";"information";"0.019032307"
" 4";" 4";"100.00";" 5.499";"accès";"0.019032307"
" 8";"11";" 72.73";" 4.350";"politique";"0.037012129"
" 5";" 6";" 83.33";" 4.201";"question";"0.040409911"
" 5";" 6";" 83.33";" 4.201";"développement";"0.040409911"
" 3";" 3";"100.00";" 4.096";"dignité";"0.042978915"
" 3";" 3";"100.00";" 4.096";"personnel";"0.042978915"
" 3";" 3";"100.00";" 4.096";"ouvrir";"0.042978915"
" 3";" 3";"100.00";" 4.096";"remercier";"0.042978915"
" 3";" 3";"100.00";" 4.096";"régime";"0.042978915"
" 3";" 3";"100.00";" 4.096";"porter";"0.042978915"
"22";"39";" 56.41";" 3.992";"droit";"0.045723143"
"10";"15";" 66.67";" 3.885";"permettre";"0.048718968"
" 6";" 8";" 75.00";" 3.585";"état";"0.058291404"
" 7";"10";" 70.00";" 3.244";"simplement";"0.071671545"
" 4";" 5";" 80.00";" 2.929";"chose";"0.087009676"
" 7";"11";" 63.64";" 2.111";"liberté";"0.146261467"
"*****";"*";"*";"*";"*";"*"
"13";"15";" 86.67";"13.106";"vous";"0.0002943651"
" 5";" 5";"100.00";" 6.920";"surtout";"0.0085239969"
"17";"26";" 65.38";" 6.558";"mais";"0.0104439608"
" 6";" 7";" 85.71";" 5.531";"car";"0.0186860044"
" 5";" 6";" 83.33";" 4.201";"votre";"0.0404099115"
" 3";" 3";"100.00";" 4.096";"d_abord";"0.0429789146"
" 3";" 3";"100.00";" 4.096";"cet";"0.0429789146"
" 3";" 3";"100.00";" 4.096";"avant";"0.0429789146"
"12";"20";" 60.00";" 2.796";"devoir";"0.0945254306"
"26";"51";" 50.98";" 2.117";"d";"0.1456357309"
" 7";"11";" 63.64";" 2.111";"non";"0.1462614672"
"33";"67";" 49.25";" 2.062";"en";"0.1509970303"
"*";"*";"*";"*";"*";"*"
"27";"47";"57.45";"5.993";"*loc_hollande";"0.01435933"
"27";"47";"57.45";"5.993";"*date_2017";"0.01435933"
" 8";"11";"72.73";"4.350";"*loc_chirac";"0.03701213"
" 8";"11";"72.73";"4.350";"*date_2006";"0.03701213"
"**";"classe";"3";"**";"";""
"****";"54";"152";"35.53";"****";""
"13";"15";" 86.67";"19.002";"professionnel";"1.305524e-05"
" 9";"10";" 90.00";"13.867";"égalité";"1.961684e-04"
" 8";" 9";" 88.89";"11.893";"vie";"5.634570e-04"
" 6";" 6";"100.00";"11.336";"nom";"7.600344e-04"
"10";"13";" 76.92";"10.636";"travail";"1.109163e-03"
" 5";" 5";"100.00";" 9.383";"donner";"2.190408e-03"
" 4";" 4";"100.00";" 7.455";"dernier";"6.324447e-03"
" 4";" 4";"100.00";" 7.455";"responsabilité";"6.324447e-03"
" 4";" 4";"100.00";" 7.455";"imposer";"6.324447e-03"
" 4";" 4";"100.00";" 7.455";"cours";"6.324447e-03"
" 4";" 4";"100.00";" 7.455";"activité";"6.324447e-03"
" 5";" 6";" 83.33";" 6.233";"voir";"1.253957e-02"
" 5";" 6";" 83.33";" 6.233";"exemple";"1.253957e-02"
" 6";" 8";" 75.00";" 5.745";"loi";"1.654017e-02"
" 6";" 8";" 75.00";" 5.745";"problème";"1.654017e-02"
" 3";" 3";"100.00";" 5.554";"année";"1.843783e-02"
" 3";" 3";"100.00";" 5.554";"principe";"1.843783e-02"
" 3";" 3";"100.00";" 5.554";"discrimination";"1.843783e-02"
" 3";" 3";"100.00";" 5.554";"réduction";"1.843783e-02"
" 4";" 5";" 80.00";" 4.464";"nombre";"3.460684e-02"
" 4";" 5";" 80.00";" 4.464";"salaire";"3.460684e-02"
" 4";" 5";" 80.00";" 4.464";"moyen";"3.460684e-02"
" 4";" 5";" 80.00";" 4.464";"constituer";"3.460684e-02"
" 9";"15";" 60.00";" 4.352";"homme";"3.696737e-02"
" 5";" 7";" 71.43";" 4.129";"premier";"4.214489e-02"
" 5";" 7";" 71.43";" 4.129";"cas";"4.214489e-02"
" 7";"11";" 63.64";" 4.091";"rester";"4.311737e-02"
" 3";" 4";" 75.00";" 2.795";"respecter";"9.458052e-02"
" 3";" 4";" 75.00";" 2.795";"parler";"9.458052e-02"
" 3";" 4";" 75.00";" 2.795";"commencer";"9.458052e-02"
" 3";" 4";" 75.00";" 2.795";"appliquer";"9.458052e-02"
" 5";" 8";" 62.50";" 2.682";"emploi";"1.014645e-01"
" 4";" 6";" 66.67";" 2.645";"formation";"1.039038e-01"
" 7";"13";" 53.85";" 2.083";"prendre";"1.489502e-01"
"*****";"*";"*";"*";"*";"*"
"17";"29";" 58.62";"8.345";"au";"0.003867916"
" 3";" 3";"100.00";"5.554";"personne";"0.018437828"
"34";"77";" 44.16";"5.074";"à";"0.024293163"
"25";"53";" 47.17";"4.816";"dans";"0.028190922"
" 4";" 5";" 80.00";"4.464";"son";"0.034606844"
" 8";"13";" 61.54";"4.199";"elles";"0.040437225"
" 5";" 7";" 71.43";"4.129";"sans";"0.042144887"
"20";"43";" 46.51";"3.159";"ne";"0.075499983"
" 6";"10";" 60.00";"2.799";"comme";"0.094316146"
" 3";" 4";" 75.00";"2.795";"laquelle";"0.094580516"
" 5";" 8";" 62.50";"2.682";"même";"0.101464513"
"16";"34";" 47.06";"2.543";"du";"0.110780423"
"*";"*";"*";"*";"*";"*"
"46";"94";"48.94";"19.34";"*loc_mitterand";"1.093844e-05"
"46";"94";"48.94";"19.34";"*date_1982";"1.093844e-05"
