"";"classe 1";"classe 2";"classe 3"
"femme";1;0,381;0,194
"droit";1;0,046;0,955
"égalité";1;1;0
"agir";1;1;0,342
"prendre";0,025;1;0,149
"loi";1;1;0,017
"permettre";1;0,049;1
"professionnel";1;1;0
"premier";1;1;0,042
"vie";1;1;0,001
"homme";1;1;0,037
"politique";1;0,037;1
"pays";1;0,007;1
"ministre";1;0,428;0,832
"mettre";1;0,004;1
"ensemble";1;0,001;1
"enfant";0,013;1;1
"combat";1;0,004;1
"société";1;1;0,322
"social";1;1;0,643
"liberté";0,221;0,146;1
"travail";1;1;0,001
"temps";0,011;1;0,564
"gouvernement";1;1;0,322
"france";1;0,227;1
"action";1;0,019;1
"rester";1;1;0,043
"fille";0;1;1
"cas";1;1;0,042
"aller";1;0,002;1
"également";0,006;0,851;1
"voir";1;1;0,013
"simplement";0,511;0,072;1
"familial";0,652;1;0,678
"année";1;1;0,018
"état";1;0,058;1
"éducation";0,002;1;1
"vivre";0,004;1;1
"seulement";1;0;1
"lutte";1;0,715;1
"grand";1;0,019;1
"famille";0,481;0,715;1
"venir";1;0,767;0,54
"problème";0,817;1;0,017
"particulier";1;1;0,45
"international";1;0,227;1
"emploi";1;1;0,101
"domaine";1;0,431;0,678
"tâche";0,006;1;1
"passer";0,165;0,996;1
"nom";1;1;0,001
"monde";1;0,019;1
"jeune";0;1;1
"fois";0,165;0,431;1
"dignité";1;0,043;1
"corps";1;0,009;1
"cause";1;0,019;1
"serment";1;0,019;1
"sentir";1;0,019;1
"rôle";1;1;0,245
"place";0,622;1;1
"nombre";1;1;0,035
"dernier";1;1;0,006
"comprendre";1;1;0,45
"appeler";0;1;1
"trouver";1;0,398;1
"situation";1;0,187;1
"sexe";1;1;0,832
"réforme";1;1;0,255
"question";1;0,04;1
"principe";1;1;0,018
"plan";0,164;0,767;1
"notamment";0,622;1;1
"montrer";0,872;0,767;1
"ivg";0,313;0,428;1
"important";1;0,398;1
"formation";1;1;0,104
"exemple";1;1;0,013
"développement";1;0,04;1
"définir";1;1;0,255
"considérer";1;0,227;1
"condition";1;0,227;1
"chômage";0,006;1;1
"choisir";0,056;1;1
"utiliser";0,622;0,398;1
"salaire";1;1;0,035
"république";0,872;0,187;1
"réduire";0;1;1
"réalité";0,622;0,398;1
"responsabilité";1;1;0,006
"respecter";1;1;0,095
"progrès";1;0,398;1
"possible";1;0,019;1
"personnel";1;0,043;1
"partir";0,872;0,767;1
"parler";1;1;0,095
"ouvrir";1;0,043;1
"oeuvre";1;0,019;1
"nouvelle";0,622;0,398;1
"moyen";1;1;0,035
"mouvement";0,872;0,187;1
"moment";1;0,767;0,54
"long";0,056;1;1
"imposer";1;1;0,006
"donner";1;1;0,002
"disposer";1;0,019;1
"discrimination";1;1;0,018
"cours";1;1;0,006
"convenir";0,164;1;1
"constituer";1;1;0,035
"conjoint";0,622;0,398;1
"commencer";0,872;1;0,095
"chose";1;0,087;1
"choix";1;0,428;1
"atteindre";1;1;0,255
"activité";1;1;0,006
"école";0,056;1;1
"veiller";0,622;1;1
"seul";0;1;1
"service";1;0,019;1
"remercier";1;0,043;1
"protection";1;0,019;1
"programme";0,622;0,398;1
"partager";0,056;1;1
"paraître";0,622;0,398;1
"oublier";1;1;0,255
"mère";0,622;0,398;1
"mesure";0,622;1;1
"inégalité";0,622;1;0,255
"information";1;0,019;1
"garder";0;1;1
"féminin";1;0,187;1
"doute";1;1;0,255
"collectif";0,164;0,767;1
"chemin";0,164;0,767;1
"appliquer";0,872;1;0,095
"accès";1;0,019;1
"étroit";1;0,398;1
"élever";0,056;1;1
"réserver";0,622;1;0,255
"régime";1;0,043;1
"réel";0,056;1;1
"réduction";1;1;0,018
"renforcer";0,622;1;1
"porter";1;0,043;1
"partiel";0,001;1;1
"nombreux";1;0,398;1
"lever";1;1;0,255
"garçon";0,056;1;1
"exister";0,056;1;1
"contraception";0,622;0,398;1
"citer";0,622;0,398;1
"charger";0,056;1;1
"changement";1;0,398;1
"*loc_mitterand";1;1;0
"*date_1982";1;1;0
"*loc_chirac";0,642;0,037;1
"*date_2006";0,642;0,037;1
"*loc_hollande";0,445;0,014;1
"*date_2017";0,445;0,014;1
