"";"X.loc_chirac";"X.loc_hollande";"X.loc_mitterand"
"je";7,78;4,91;12,43
"être";40,86;52,4;50,69
"de";81,71;66,59;71,72
"vous";17,51;7,1;3,19
"en";19,46;22,38;22
"cette";3,89;6,55;7,97
"au";1,95;6;8,93
"l";31,13;25,66;36,34
"pour";33,07;15,28;14,34
"dans";11,67;11,46;21,68
"ces";9,73;7,1;3,83
"la";50,58;37,66;44,31
"premier";0;3,28;3,83
"avec";0;1,64;3,83
"tout";3,89;3,28;5,1
"qu";15,56;11,46;9,88
"elle";0;3,82;5,74
"du";5,84;4,91;12,75
"que";17,51;29,48;22,63
"les";40,86;43,67;40,48
"femme";9,73;31,11;20,4
"avoir";15,56;40,94;22
"leur";3,89;5,46;7,33
"combat";13,62;3,82;0,32
"ne";9,73;13,1;13,39
"pas";7,78;10,37;8,93
"non";0;4,37;2,23
"plus";3,89;4,91;10,52
"sans";5,84;0,55;2,23
"action";3,89;0;3,51
"des";27,24;32,21;30,6
"qui";31,13;22,93;16,58
"droit";7,78;9,28;9,88
"et";62,26;30,02;28,69
"mettre";3,89;1,09;3,51
"d";17,51;15,83;25,5
"social";3,89;1,09;3,19
"vouloir";1,95;10,37;2,23
"à";11,67;30,02;30,6
"comme";1,95;3,28;3,51
"permettre";9,73;3,28;2,55
"c";7,78;10,37;11,16
"elles";15,56;1,09;5,42
"on";3,89;4,91;8,29
"devoir";9,73;6,55;4,78
"une";11,67;13,1;16,58
"pouvoir";1,95;9,28;7,33
"aujourd_hui";1,95;4,91;2,23
"leurs";1,95;1,64;2,87
"société";0;1,64;3,51
"le";29,18;20,74;30,6
"faire";7,78;12,55;7,97
"il";9,73;16,38;18,81
"y";1,95;9,83;4,46
"se";11,67;2,73;5,74
"toutes";5,84;7,1;1,59
"mais";3,89;9,28;6,69
"nous";15,56;30,57;7,33
"agir";1,95;6,55;2,55
"rester";0;0;3,83
"seulement";0;2,18;1,91
"j";0;4,37;4,14
"ministre";0;2,18;3,83
"également";1,95;4,37;0,64
"tous";15,56;3,82;2,23
"autres";3,89;1,64;2,55
"gouvernement";0;1,09;3,51
"là";0;3,82;3,19
"notre";1,95;1,09;4,78
"ou";7,78;4,91;7,01
"un";13,62;10,92;13,39
"prendre";3,89;4,37;3,19
"voir";1,95;0;3,19
"falloir";5,84;1,09;3,19
"savoir";3,89;2,18;3,51
"s";5,84;4,91;6,06
"dire";3,89;2,18;3,83
"m";0;0,55;2,87
"année";1,95;0;3,19
"aux";0;6;3,83
"égalité";5,84;2,18;4,46
"par";3,89;7,1;6,06
"bien";3,89;0,55;5,42
"ceux";7,78;1,64;1,59
"professionnel";0;1,64;4,78
"alors";1,95;2,73;1,28
"sur";3,89;5,46;4,78
"entre";0;1,09;2,55
"homme";1,95;4,37;2,55
"vie";5,84;1,09;3,83
"si";0;3,28;3,83
"même";0;2,18;4,14
"ce";11,67;17,47;7,97
"travail";0;0;4,14
"souvent";0;0,55;3,19
"éducation";0;2,18;1,91
"enfant";0;3,28;2,87
"aller";0;1,09;3,19
"grand";5,84;1,09;1,59
"cas";0;2,18;2,55
"état";0;0,55;2,87
"lutte";3,89;2,18;1,28
"contre";3,89;3,28;1,59
"politique";1,95;2,73;3,19
"où";5,84;2,73;2,87
"temps";0;0;4,14
"dont";3,89;0;2,55
"aussi";7,78;9,83;4,46
"simplement";3,89;2,73;1,28
"vivre";7,78;1,64;0,96
"votre";11,67;2,18;0,96
"car";0;2,73;1,91
"liberté";1,95;2,73;2,55
"famille";1,95;0,55;2,55
"familial";1,95;1,09;2,55
"ensemble";7,78;2,18;2,23
"penser";0;3,82;0,96
"loi";5,84;3,28;3,51
"donc";0;3,82;0,96
"violence";13,62;3,82;0,64
"pays";0;5,46;1,91
"france";0;6,55;0,32
"fille";3,89;5,46;0
