"";"X.loc_chirac";"X.loc_hollande";"X.loc_mitterand"
"pro_per";63,31;71,43;65,05
"aux";37,47;65,67;47,23
"adj";47,8;41,09;50,34
"pre";129,2;132,87;143,77
"ver";91,73;84,1;95,3
"adj_dem";9,04;9,98;8,49
"nom";205,43;185,87;202,4
"art_def";105,94;101,77;115,19
"adv_sup";33,59;48,39;48,89
"adv";21,96;15,36;13,67
"pro_ind";21,96;16,9;15,12
"con";67,18;55,3;45,58
"num";0;3,46;4,14
"pro_rel";38,76;39,17;30,66
"pro_dem";20,67;22,66;19,47
"art_ind";34,88;39,55;39,36
"ver_sup";25,84;31,11;21,55
"adj_pos";16,8;5,76;10,36
"nom_sup";1,29;0,38;5,39
"adj_ind";9,04;5,76;5,39
"nr";14,21;18,43;5,39
"ono";3,88;4,22;3,94
"pro_pos";0;0;0,41
"adj_int";0;0;1,86
"adj_num";0;0,77;1,04
