"";"*loc_chirac";"*loc_hollande";"*loc_mitterand"
"je";4;9;39
"être";21;96;159
"de";42;122;225
"vous";9;13;10
"en";10;41;69
"cette";2;12;25
"au";1;11;28
"l";16;47;114
"pour";17;28;45
"dans";6;21;68
"ces";5;13;12
"la";26;69;139
"premier";0;6;12
"avec";0;3;12
"tout";2;6;16
"qu";8;21;31
"elle";0;7;18
"du";3;9;40
"que";9;54;71
"les";21;80;127
"femme";5;57;64
"avoir";8;75;69
"leur";2;10;23
"combat";7;7;1
"ne";5;24;42
"pas";4;19;28
"non";0;8;7
"plus";2;9;33
"sans";3;1;7
"action";2;0;11
"des";14;59;96
"qui";16;42;52
"droit";4;17;31
"et";32;55;90
"mettre";2;2;11
"d";9;29;80
"social";2;2;10
"vouloir";1;19;7
"à";6;55;96
"comme";1;6;11
"permettre";5;6;8
"c";4;19;35
"elles";8;2;17
"on";2;9;26
"devoir";5;12;15
"une";6;24;52
"pouvoir";1;17;23
"aujourd_hui";1;9;7
"leurs";1;3;9
"société";0;3;11
"le";15;38;96
"faire";4;23;25
"il";5;30;59
"y";1;18;14
"se";6;5;18
"toutes";3;13;5
"mais";2;17;21
"nous";8;56;23
"agir";1;12;8
"rester";0;0;12
"seulement";0;4;6
"j";0;8;13
"ministre";0;4;12
"également";1;8;2
"tous";8;7;7
"autres";2;3;8
"gouvernement";0;2;11
"là";0;7;10
"notre";1;2;15
"ou";4;9;22
"un";7;20;42
"prendre";2;8;10
"voir";1;0;10
"falloir";3;2;10
"savoir";2;4;11
"s";3;9;19
"dire";2;4;12
"m";0;1;9
"année";1;0;10
"aux";0;11;12
"égalité";3;4;14
"par";2;13;19
"bien";2;1;17
"ceux";4;3;5
"professionnel";0;3;15
"alors";1;5;4
"sur";2;10;15
"entre";0;2;8
"homme";1;8;8
"vie";3;2;12
"si";0;6;12
"même";0;4;13
"ce";6;32;25
"travail";0;0;13
"souvent";0;1;10
"éducation";0;4;6
"enfant";0;6;9
"aller";0;2;10
"grand";3;2;5
"cas";0;4;8
"état";0;1;9
"lutte";2;4;4
"contre";2;6;5
"politique";1;5;10
"où";3;5;9
"temps";0;0;13
"dont";2;0;8
"aussi";4;18;14
"simplement";2;5;4
"vivre";4;3;3
"votre";6;4;3
"car";0;5;6
"liberté";1;5;8
"famille";1;1;8
"familial";1;2;8
"ensemble";4;4;7
"penser";0;7;3
"loi";3;6;11
"donc";0;7;3
"violence";7;7;2
"pays";0;10;6
"france";0;12;1
"fille";2;10;0
