"";"X.loc_chirac";"X.loc_hollande";"X.loc_mitterand"
"je";-1;-2;3
"être";-1;1;1
"de";1;-1;1
"vous";4;1;-3
"en";-1;1;1
"cette";-1;-1;1
"au";-1;-1;1
"l";-1;-2;2
"pour";3;-1;-1
"dans";-1;-2;3
"ces";1;1;-2
"la";1;-1;1
"premier";-1;-1;1
"avec";-1;-1;2
"tout";-1;-1;1
"qu";1;1;-1
"elle";-1;-1;1
"du";-1;-2;3
"que";-1;2;-1
"les";-1;1;-1
"femme";-2;3;-1
"avoir";-2;5;-3
"leur";-1;-1;1
"combat";7;1;-5
"ne";-1;1;1
"pas";-1;1;-1
"non";-1;1;-1
"plus";-1;-2;2
"sans";2;-2;1
"action";1;-2;2
"des";-1;1;-1
"qui";2;1;-2
"droit";-1;-1;1
"et";5;-1;-2
"mettre";1;-2;1
"d";-1;-2;2
"social";1;-1;1
"vouloir";-1;5;-4
"à";-2;1;1
"comme";-1;-1;1
"permettre";2;-1;-1
"c";-1;-1;1
"elles";4;-3;1
"on";-1;-1;1
"devoir";1;1;-1
"une";-1;-1;1
"pouvoir";-1;1;-1
"aujourd_hui";-1;2;-1
"leurs";-1;-1;1
"société";-1;-1;1
"le";1;-2;2
"faire";-1;2;-1
"il";-1;-1;1
"y";-1;3;-2
"se";2;-2;1
"toutes";1;3;-3
"mais";-1;1;-1
"nous";-1;10;-9
"agir";-1;2;-2
"rester";-1;-2;3
"seulement";-1;1;1
"j";-1;1;1
"ministre";-1;-1;1
"également";-1;3;-3
"tous";5;-1;-2
"autres";1;-1;1
"gouvernement";-1;-1;2
"là";-1;1;1
"notre";-1;-2;2
"ou";1;-1;1
"un";1;-1;1
"prendre";1;1;-1
"voir";-1;-2;2
"falloir";1;-2;1
"savoir";1;-1;1
"s";1;-1;1
"dire";1;-1;1
"m";-1;-1;2
"année";-1;-2;2
"aux";-1;1;-1
"égalité";1;-1;1
"par";-1;1;-1
"bien";1;-3;2
"ceux";3;-1;-1
"professionnel";-1;-1;2
"alors";1;1;-1
"sur";-1;1;-1
"entre";-1;-1;1
"homme";-1;1;-1
"vie";1;-2;1
"si";-1;-1;1
"même";-1;-1;1
"ce";1;3;-3
"travail";-1;-2;3
"souvent";-1;-2;2
"éducation";-1;1;1
"enfant";-1;1;1
"aller";-1;-1;2
"grand";2;-1;-1
"cas";-1;-1;1
"état";-1;-1;2
"lutte";1;1;-1
"contre";1;1;-1
"politique";-1;-1;1
"où";1;-1;-1
"temps";-1;-2;3
"dont";1;-2;1
"aussi";1;2;-2
"simplement";1;1;-1
"vivre";4;-1;-2
"votre";6;-1;-2
"car";-1;1;-1
"liberté";-1;1;-1
"famille";1;-1;1
"familial";-1;-1;1
"ensemble";2;-1;-1
"penser";-1;2;-2
"loi";1;-1;-1
"donc";-1;2;-2
"violence";6;1;-4
"pays";-1;2;-1
"france";-1;6;-4
"fille";1;4;-5
