"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"pro_per";0,374070888684752;0,411318689774391;0,6728153832589;0,739810421696112;0,719046549284985;0,280953450715016;0,00936271021803881;0,0113201099868604;0,0669104204753199;0,0466374799027981;0,00014553381327172
"aux";1,34276408322767;1,95887995974556;0,565394344287051;0,824820729278924;0,592497078263241;0,407502921736759;0,0940512594774244;0,200161630491714;0,0521633150517977;0,184423506957604;0,00177418023219205
"adj";-0,821978891948764;-0,332072945193749;-0,92719485724625;-0,3745793596771;0,949898452829016;0,0501015471709853;0,0318679193953938;0,00520114986468919;0,0471663619744059;0,0891623983158646;0,000374969430447298
"pre";-0,369384446848137;0,266331157266144;-0,811144353436846;0,584845995017082;0,8561627503752;0,1438372496248;0,0189576052789234;0,00985530838233085;0,138939670932358;0,0422046310037745;0,000247483632066768
"ver";-0,515929973256452;-0,181482334690663;-0,943340198892483;-0,33182716759405;0,961550764084852;0,0384492359151487;0,0243312374135652;0,00301058846478738;0,0914076782449726;0,0556242690779073;0,000282820777920606
"adj_dem";0,700307455828697;0,204982829235329;0,959731941313558;0,280917427053768;0,973058322270097;0,0269416777299042;0,00442313947824564;0,000378955400465287;0,00901889092017063;0,0750548879790936;5,08055429015256e-05
"nom";-0,332348393706502;-0,32510348263798;-0,714855471200933;-0,699272232606223;0,763806590071795;0,236193409928206;0,021808389613023;0,0208679444930916;0,197440585009141;0,0402032858904737;0,0003191240460882
"art_def";-0,535550749362453;0,0354639367240372;-0,997814669157459;0,0660748516017241;0,998584903945791;0,00141509605421072;0,0315653367999811;0,00013841496643434;0,110054844606947;0,0566588557954818;0,000353300916985745
"adv_sup";-0,200639969108183;1,51692487189068;-0,131125543102242;0,991365771018014;0,05135493820848;0,948645061791519;0,00190365412736724;0,108813125408981;0,0472882388787325;0,0936021907518084;0,000414309762833969
"adv";0,725801212367057;-2,30926103075535;0,299839176858768;-0,953989763058628;0,234113079789692;0,765886920210308;0,00789699575678723;0,0799415527732269;0,0149908592321755;0,158585880163296;0,000377012335237241
"pro_ind";0,644382817452994;-1,67875708903554;0,358352607590655;-0,933586315577182;0,313146716755281;0,686853283244718;0,00678131808256433;0,04602586212971;0,0163315051797684;0,121738987881655;0,000242039131851344
"con";0,985304491687774;-1,46370843517922;0,558421660688068;-0,829557260756833;0,583711297705002;0,416288702294998;0,0492215936133435;0,108623526071586;0,0507007921998781;0,136342445594144;0,000942490333670483
"num";-1,3589150258067;5,02789681220593;-0,260913318675675;0,965362232603724;0,184365334422078;0,815634665577921;0,00652685574327034;0,0893494996065237;0,00353443022547227;0,334589520631501;0,000395679984421219
"pro_rel";1,12716988096784;-0,386479189003363;0,945940553416237;-0,324340052109794;0,963397780897269;0,0366022191027321;0,0433568974231683;0,00509719997430289;0,0341255332114564;0,121407697111492;0,000503004521269519
"pro_dem";0,655421836688748;0,186250030900828;0,961915815861274;0,27334586734747;0,974567382187796;0,0254326178122059;0,00884809817153302;0,000714497685287576;0,0205971968312005;0,0701899022251708;0,000101474610758081
"art_ind";-0,0358042086059036;0,564577726177303;-0,0632905349960086;0,997995144366905;0,0122919551962435;0,987708044803756;4,99964939971262e-05;0,0124313665870287;0,0390006093845216;0,0341415521488274;4,54608880684891e-05
"ver_sup";1,63614971131441;0,327605289323021;0,980537393402343;0,19633242253825;0,987209330397992;0,0127906696020096;0,0668838641018907;0,00268149558152909;0,0249847653869592;0,174091705976174;0,000757236322777253
"adj_pos";-1,63312319406075;-4,69623972367788;-0,328457560823913;-0,944518729691268;0,272306302062792;0,727693697937209;0,0253544334703688;0,209660459268191;0,00950639853747715;0,330864191545226;0,0010406760308661
"nom_sup";-6,53102454314033;1,33688430825603;-0,979685679592252;0,200539196173387;0,986639830644799;0,0133601693552015;0,145560010277494;0,00609911886685115;0,00341255332114564;0,695123003204159;0,00164893207901766
"adj_ind";0,563447372815896;-2,80105306965291;0,197205300921564;-0,9803622133112;0,111276260787426;0,888723739212573;0,00185724572977337;0,0458992222245675;0,00585009140767825;0,178571342278962;0,000186546101840206
"nr";5,52414432895871;-0,292146346002654;0,998604496089017;-0,0528115554665857;0,999096960346611;0,000903039653389605;0,316133394053524;0,000884181162221779;0,0103595368677636;0,584279790271453;0,003536568462178
"ono";0,283332526659567;0,287040055725705;0,702495613188114;0,711688073141215;0,750930656331812;0,249069343668189;0,000322870393892591;0,000331375476965694;0,00402193784277879;0,0345665617868015;4,80560114492447e-06
"pro_pos";-7,72340463244448;3,02735991450478;-0,931031621835705;0,364938514193798;0,952696486582683;0,0473035134173183;0,0145401533495344;0,00223398124361983;0,00024375380865326;0,836548593201894;0,000170582217864245
"adj_int";-7,72340463244447;3,02735991450478;-0,931031621835705;0,364938514193798;0,952696486582683;0,0473035134173183;0,0654306900729047;0,0100529155962892;0,00109689213893967;0,836548593201894;0,000767619980389105
"adj_num";-1,86403324855573;4,86912404254711;-0,357523876613179;0,933903998091605;0,312005524342216;0,687994475657783;0,00296433146399128;0,0202265182927449;0,000853138330286411;0,352802926883087;0,000106190047107972
