"";"*loc_chirac";"*loc_hollande";"*loc_mitterand"
"premier";0;6;12
"femme";5;57;64
"combat";7;7;1
"action";2;0;11
"droit";4;17;31
"mettre";2;2;11
"social";2;2;10
"permettre";5;6;8
"société";0;3;11
"agir";1;12;8
"rester";0;0;12
"seulement";0;4;6
"ministre";0;4;12
"également";1;8;2
"gouvernement";0;2;11
"prendre";2;8;10
"voir";1;0;10
"année";1;0;10
"égalité";3;4;14
"professionnel";0;3;15
"homme";1;8;8
"vie";3;2;12
"travail";0;0;13
"éducation";0;4;6
"enfant";0;6;9
"aller";0;2;10
"grand";3;2;5
"cas";0;4;8
"état";0;1;9
"lutte";2;4;4
"politique";1;5;10
"temps";0;0;13
"simplement";2;5;4
"vivre";4;3;3
"liberté";1;5;8
"famille";1;1;8
"familial";1;2;8
"ensemble";4;4;7
"penser";0;7;3
"loi";3;6;11
"violence";7;7;2
"pays";0;10;6
"france";0;12;1
"fille";2;10;0
